"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"7-Zip 9.38";"LASPEGASQL01.FNBM.CORP";"Igor Pavlov";"20180208";"9.38.00.0";;;;
"Active Directory Authentication Library for SQL Server";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.1601.5";;;;
"BMC Track-It! 11.3 Agent";"LASPEGASQL01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Browser for SQL Server 2016";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.1.4001.0";;;;
"Commvault ContentStore";"LASPEGASQL01.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"iLO 3/4 Management Controller Driver Package";"LASPEGASQL01.FNBM.CORP";"Hewlett Packard Enterprise";;"3.30.0.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASPEGASQL01.FNBM.CORP";;;;;;;
"Matrox Graphics Software (remove only)";"LASPEGASQL01.FNBM.CORP";"Matrox Graphics Inc.";;"4.3.1.5";;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"4.5.51209";;;;
"Microsoft Help Viewer 1.1";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";;"1.1.40219";;;;
"Microsoft Help Viewer 2.2";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft MPI (7.0.12437.8)";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"7.0.12437.8";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"13.1.4001.0";;;;
"Microsoft Report Viewer for SQL Server 2016";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.1601.5";;;;
"Microsoft Silverlight";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20180405";"5.1.50907.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"11.3.6518.0";;;;
"Microsoft SQL Server 2014 Management Objects ";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"12.0.2000.8";;;;
"Microsoft SQL Server 2016";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 (64-bit)";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 Policies ";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.1601.5";;;;
"Microsoft SQL Server 2016 Setup (English)";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20180405";"13.1.4206.0";;;;
"Microsoft SQL Server 2016 T-SQL Language Service ";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"13.0.14500.10";;;;
"Microsoft SQL Server 2016 T-SQL ScriptDom ";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.1.4001.0";;;;
