"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"7-Zip 9.20 (x64 edition)";"LASPROCAPPTST04.CREDITONEAPP.TST";"Igor Pavlov";"20140407";"9.20.00.0";;;;
"BMC Track-It! 11.3 Agent";"LASPROCAPPTST04.CREDITONEAPP.TST";"BMC Software";;"11.3.0.355";;;;
"GNU Privacy Guard";"LASPROCAPPTST04.CREDITONEAPP.TST";"Free Software Foundation";;"1.4.10";;;;
"Microsoft .NET Framework 4.5.2";"LASPROCAPPTST04.CREDITONEAPP.TST";"Microsoft Corporation";;"4.5.51209";;;;
"Microsoft Baseline Security Analyzer 2.2";"LASPROCAPPTST04.CREDITONEAPP.TST";"Microsoft Corporation";"20140407";"2.2.2170";;;;
"Microsoft Silverlight";"LASPROCAPPTST04.CREDITONEAPP.TST";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"LASPROCAPPTST04.CREDITONEAPP.TST";"Microsoft Corporation";"20140404";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASPROCAPPTST04.CREDITONEAPP.TST";"Microsoft Corporation";"20140404";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASPROCAPPTST04.CREDITONEAPP.TST";"Microsoft Corporation";"20140404";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASPROCAPPTST04.CREDITONEAPP.TST";"Microsoft Corporation";"20140404";"9.0.30729.6161";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASPROCAPPTST04.CREDITONEAPP.TST";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASPROCAPPTST04.CREDITONEAPP.TST";"Symantec Corporation";"20180301";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASPROCAPPTST04.CREDITONEAPP.TST";"VMware, Inc.";"20180215";"10.1.7.5541682";;;;
