"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASPROCDB02.CREDITONEAPP.BIZ";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"LASPROCDB02.CREDITONEAPP.BIZ";"Commvault";;"11.80.110.0";;;;
"Headless Server Registry Update";"LASPROCDB02.CREDITONEAPP.BIZ";"Hewlett-Packard Company";"20130403";"1.0.0.0";;;;
"Matrox Graphics Software (remove only)";"LASPROCDB02.CREDITONEAPP.BIZ";;;;;;;
"Microsoft .NET Framework 4.5.2";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";;"4.5.51209";;;;
"Microsoft Baseline Security Analyzer 2.2";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140121";"2.2.2170";;;;
"Microsoft Office 2003 Web Components";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20170520";"12.0.6213.1000";;;;
"Microsoft Report Viewer Redistributable 2008 SP1";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";;;;;;
"Microsoft Silverlight";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 R2 (64-bit)";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2008 R2 Native Client";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 R2 Policies";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.50.1600.1";;;;
"Microsoft SQL Server 2008 R2 Setup (English)";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2550.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.1.2731.0";;;;
"Microsoft SQL Server Browser";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;
"Microsoft SQL Server Compact 3.5 SP2 ENU";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"3.5.8080.0";;;;
"Microsoft SQL Server Compact 3.5 SP2 Query Tools ENU";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"3.5.8080.0";;;;
"Microsoft SQL Server System CLR Types (x64)";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;
"Microsoft SQL Server VSS Writer";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140426";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140710";"8.0.59193";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140121";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20130403";"8.0.59192";;;;
