"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASPROCESS01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"IBM WebSphere MQ (Installation1)";"LASPROCESS01.FNBM.CORP";"IBM";"20171213";"8.0.0.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASPROCESS01.FNBM.CORP";;;;;;;
"Microsoft Silverlight";"LASPROCESS01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASPROCESS01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASPROCESS01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASPROCESS01.FNBM.CORP";"Microsoft Corporation";"20160216";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASPROCESS01.FNBM.CORP";"Microsoft Corporation";"20170128";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"LASPROCESS01.FNBM.CORP";"Microsoft Corporation";"20171213";"10.0.30319";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASPROCESS01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"NCache";"LASPROCESS01.FNBM.CORP";"Alachisoft";"20171213";"4.6.0.0";;;;
"Netwitness SFTP Agent";"LASPROCESS01.FNBM.CORP";"RSA Security Inc";"20171216";"4.1.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASPROCESS01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASPROCESS01.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASPROCESS01.FNBM.CORP";"VMware, Inc.";"20180224";"10.1.7.5541682";;;;
