"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASPROCOFACTST1.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"HP System Management Homepage";"LASPROCOFACTST1.FNBM.CORP";"Hewlett-Packard Company";"20150908";"6.1.0";;;;
"HP Version Control Agent";"LASPROCOFACTST1.FNBM.CORP";"Hewlett Packard Development Company, L.P.";"20150908";"7.3.3.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASPROCOFACTST1.FNBM.CORP";;;;;;;
"LexisNexis® Bridger Insight® XG Enterprise";"LASPROCOFACTST1.FNBM.CORP";"LexisNexis";"20151002";"4.5.3.5466";;;;
"Microsoft Baseline Security Analyzer 2.2";"LASPROCOFACTST1.FNBM.CORP";"Microsoft Corporation";"20150908";"2.2.2170";;;;
"Microsoft Silverlight";"LASPROCOFACTST1.FNBM.CORP";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft SQL Server Native Client";"LASPROCOFACTST1.FNBM.CORP";"Microsoft Corporation";"20151009";"9.00.4035.00";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASPROCOFACTST1.FNBM.CORP";"Microsoft Corporation";"20151022";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASPROCOFACTST1.FNBM.CORP";"Microsoft Corporation";"20150908";"8.0.50727.42";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASPROCOFACTST1.FNBM.CORP";"Microsoft Corporation";"20150908";"8.0.59192";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASPROCOFACTST1.FNBM.CORP";"Microsoft Corporation";"20151022";"8.0.61000";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASPROCOFACTST1.FNBM.CORP";"Microsoft Corporation";"20151022";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"LASPROCOFACTST1.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASPROCOFACTST1.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASPROCOFACTST1.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"SolarWinds Agent 2.0.70.0";"LASPROCOFACTST1.FNBM.CORP";"SolarWinds Worldwide, LLC.";"20180604";"2.0.70.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASPROCOFACTST1.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASPROCOFACTST1.FNBM.CORP";"Symantec Corporation";"20180301";"14.0.3876.1100";;;;"0"
