"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASPROCWEBTST01.CREDITONEAPP.TST";"BMC Software";;"11.3.0.355";;;;
"Microsoft Silverlight";"LASPROCWEBTST01.CREDITONEAPP.TST";"Microsoft Corporation";"20170729";"5.1.50906.0";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASPROCWEBTST01.CREDITONEAPP.TST";"Microsoft Corporation";"20160815";"8.0.61001";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASPROCWEBTST01.CREDITONEAPP.TST";"Microsoft Corporation";"20160802";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17";"LASPROCWEBTST01.CREDITONEAPP.TST";"Microsoft Corporation";"20160815";"9.0.30729";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASPROCWEBTST01.CREDITONEAPP.TST";"Microsoft Corporation";"20160802";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASPROCWEBTST01.CREDITONEAPP.TST";"Microsoft Corporation";"20160803";"9.0.30729.6161";;;;
"Process360";"LASPROCWEBTST01.CREDITONEAPP.TST";"Open Text, Inc.";"20160815";"10.4.2.1732";;;;
"Process360 Web Parts";"LASPROCWEBTST01.CREDITONEAPP.TST";"Open Text, Inc.";;"10.4.2.1732";;;;
"Process360 Web Parts SDK";"LASPROCWEBTST01.CREDITONEAPP.TST";"Open Text, Inc.";;"10.4.2.1732";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASPROCWEBTST01.CREDITONEAPP.TST";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASPROCWEBTST01.CREDITONEAPP.TST";"Symantec Corporation";"20180301";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASPROCWEBTST01.CREDITONEAPP.TST";"VMware, Inc.";"20180215";"10.1.7.5541682";;;;
