"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180710";"14.0.3015.40";;;;
"BMC Track-It! 11.3 Agent";"LASPSHOST.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Browser for SQL Server 2017";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180216";"14.0.1000.169";;;;
"Git version 2.18.0";"LASPSHOST.FNBM.CORP";"The Git Development Community";"20180730";"2.18.0";;;;
"Go Programming Language amd64 go1.9.3";"LASPSHOST.FNBM.CORP";"https://golang.org";"20180206";"1.9.3";;;;
"IIS URL Rewrite Module 2";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180313";"7.2.1980";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASPSHOST.FNBM.CORP";;;;;;;
"Log Parser 2.2";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"2.2.10";;;;
"Microsoft .NET Core 2.0.5 - Windows Server Hosting";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;"2.0.40104.155";;;;
"Microsoft .NET Core Runtime - 2.0.5 (x64)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;"2.0.5.26021";;;;
"Microsoft .NET Core Runtime - 2.0.5 (x86)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;"2.0.5.26021";;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"4.5.51209";;;;
"Microsoft Application Request Routing 3.0";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180313";"3.0.1988";;;;
"Microsoft Chart Controls for Microsoft .NET Framework 3.5";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180618";"3.5.0.0";;;;
"Microsoft Exchange Server 2016 Cumulative Update 3";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;"15.1.544.27";;;;
"Microsoft External Cache";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180313";"1.1.1949";;;;
"Microsoft Help Viewer 2.2";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft MPI (7.0.12437.8)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180216";"7.0.12437.8";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180216";"14.0.1000.169";;;;
"Microsoft Silverlight";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20170515";"5.1.50905.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180718";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180718";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180718";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180718";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180216";"11.3.6540.0";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180718";"11.0.2100.60";;;;
"Microsoft SQL Server 2014 Management Objects ";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"12.0.2000.8";;;;
"Microsoft SQL Server 2017";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2017 (64-bit)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2017 Policies ";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.1000.169";;;;
"Microsoft SQL Server 2017 Setup (English)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180216";"14.0.1000.169";;;;
"Microsoft SQL Server 2017 T-SQL Language Service ";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180409";"14.0.17230.0";;;;
"Microsoft SQL Server 2017 T-SQL Language Service ";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180216";"14.0.1000.169";;;;
"Microsoft SQL Server Data-Tier Application Framework (x86)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180409";"14.0.3953.4";;;;
"Microsoft SQL Server Management Studio - 17.6";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;"14.0.17230.0";;;;
"Microsoft SQL Server Reporting Services";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;"14.0.6681.5121";;;;
"Microsoft System CLR Types for SQL Server 2012";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180718";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180718";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2014";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"12.0.2402.11";;;;
"Microsoft System CLR Types for SQL Server 2017";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180710";"14.0.3015.40";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180103";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20170307";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20170307";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20170515";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180216";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180216";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23506";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;"14.0.23506.0";;;;
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23026";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;"14.0.23026.0";;;;
"Microsoft Visual J# 2.0 Redistributable Package - SE (x64)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";;;;;;
