"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"hMailServer 5.6.7-B2425";"LASRIGHTFAX01.CREDITONEAPP.BIZ";;"20180416";;;;;
"Microsoft Primary Interoperability Assemblies 2005";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20171211";"8.0.50727.42";;;;
"Microsoft SQL Server Compact 3.5 ENU";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180416";"3.5.5386.0";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20171211";"8.0.61001";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20171211";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20171211";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20171211";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.24212";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"14.0.24212.0";;;;
"RightFax Product Suite";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"Open Text, Inc.";;"11.0.2.594";;;;
"SAP Crystal Reports runtime engine for .NET Framework 4 (32-bit)";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"SAP";"20171211";"13.0.1.220";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Sylpheed 3.7";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"Hiroyuki Yamamoto";;"3.7";;;;
"VMware Tools";"LASRIGHTFAX01.CREDITONEAPP.BIZ";"VMware, Inc.";"20171211";"10.0.9.3917699";;;;
