"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASSASC01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"LASSASC01.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"Headless Server Registry Update";"LASSASC01.FNBM.CORP";"Hewlett-Packard Company";"20140123";"1.0.0.0";;;;
"HP Insight Diagnostics  Online Edition for Windows";"LASSASC01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140320";"9.64.1262";;;;
"HP Insight Management Agents";"LASSASC01.FNBM.CORP";"Hewlett-Packard Company";"20140320";"9.50.0.0";;;;
"HP Insight Management WBEM Providers for Windows Server x64 Editions";"LASSASC01.FNBM.CORP";"Hewlett-Packard Company";;"9.5.0.0";;;;
"HP Lights-Out Online Configuration Utility";"LASSASC01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140320";"4.3.0.0";;;;
"HP ProLiant Agentless Management Service";"LASSASC01.FNBM.CORP";"Hewlett-Packard Company";;"9.50.0.0";;;;
"HP ProLiant iLO 3/4 Channel Interface Driver";"LASSASC01.FNBM.CORP";"Hewlett-Packard Company";;"3.10.0.0";;;;
"HP ProLiant iLO 3/4 Management Controller Package";"LASSASC01.FNBM.CORP";"Hewlett-Packard Company";;"3.9.0.0";;;;
"HP ProLiant Integrated Management Log Viewer";"LASSASC01.FNBM.CORP";"Hewlett-Packard Company";"20140320";"7.0.0.0";;;;
"HP Smart Array SAS/SATA Event Notification Service";"LASSASC01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140320";"6.36.0.64";;;;
"HP Smart Storage Administrator";"LASSASC01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140320";"1.60.17.0";;;;
"HP Smart Storage Administrator CLI";"LASSASC01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140320";"1.60.17.0";;;;
"HP System Management Homepage";"LASSASC01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140710";"7.3.3";;;;
"HP Version Control Agent";"LASSASC01.FNBM.CORP";"Hewlett Packard Development Company, L.P.";"20140710";"7.3.3.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSASC01.FNBM.CORP";;;;;;;
"Matrox Graphics Software (remove only)";"LASSASC01.FNBM.CORP";"Matrox Graphics Inc.";;"4.0.1.5";;;;
"Microsoft Access database engine 2010 (English)";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20171021";"14.0.6029.1000";;;;
"Microsoft AS OLE DB Provider for SQL Server 2012";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20160319";"11.0.2100.60";;;;
"Microsoft AS OLE DB Provider for SQL Server 2012";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20160319";"11.0.2100.60";;;;
"Microsoft Baseline Security Analyzer 2.2";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20140124";"2.2.2170";;;;
"Microsoft Silverlight";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20160319";"11.0.2100.60";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20140123";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20140320";"8.0.59193";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20140123";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20140123";"8.0.59192";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20140402";"8.0.56336";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20140326";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20140123";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20140331";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20140426";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASSASC01.FNBM.CORP";"Microsoft Corporation";"20140426";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030";"LASSASC01.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"LASSASC01.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASSASC01.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASSASC01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASSASC01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"LASSASC01.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
"PFA Server Registry Update";"LASSASC01.FNBM.CORP";"Hewlett-Packard Company";"20140123";"1.0.0.0";;;;
"SAS 9.4";"LASSASC01.FNBM.CORP";"SAS";;"9.4";;;;
"SolarWinds Agent 2.0.70.0";"LASSASC01.FNBM.CORP";"SolarWinds Worldwide, LLC.";"20180604";"2.0.70.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASSASC01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASSASC01.FNBM.CORP";"Symantec Corporation";"20180122";"14.0.3876.1100";;;;"0"
"Veritas InfoScale Foundation 7.3.1 for Windows ";"LASSASC01.FNBM.CORP";"Veritas Technologies LLC";"11.10.2005.11.10 10:33:24 PST";"7.3.1";;;;
"Veritas InfoScale Operations Manager (Host Component)";"LASSASC01.FNBM.CORP";"Veritas Technologies LLC";;"7.3.1.400";;;;"0"
"VRTSvbs";"LASSASC01.FNBM.CORP";"Veritas Technologies LLC";"20180728";"7.3.10000.000";;;;
