"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASSASMT01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"LASSASMT01.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"Headless Server Registry Update";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Company";"20140124";"1.0.0.0";;;;
"HP Array Configuration Utility (64-bit)";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140124";"9.40.12.0";;;;
"HP Array Configuration Utility CLI (64-bit)";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140124";"9.40.12.0";;;;
"HP Insight Diagnostics  Online Edition for Windows";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140320";"9.64.1262";;;;
"HP Insight Management Agents";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Company";"20140320";"9.50.0.0";;;;
"HP Insight Management WBEM Providers for Windows Server x64 Editions";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Company";;"9.5.0.0";;;;
"HP Lights-Out Online Configuration Utility";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140320";"4.3.0.0";;;;
"HP ProLiant Agentless Management Service";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Company";;"9.50.0.0";;;;
"HP ProLiant iLO 3/4 Channel Interface Driver";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Company";;"3.10.0.0";;;;
"HP ProLiant iLO 3/4 Management Controller Package";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Company";;"3.9.0.0";;;;
"HP ProLiant Integrated Management Log Viewer";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Company";"20140320";"7.0.0.0";;;;
"HP Smart Array SAS/SATA Event Notification Service";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140320";"6.36.0.64";;;;
"HP Smart Storage Administrator";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140320";"1.60.17.0";;;;
"HP Smart Storage Administrator CLI";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140320";"1.60.17.0";;;;
"HP System Management Homepage";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140710";"7.3.3";;;;
"HP Version Control Agent";"LASSASMT01.FNBM.CORP";"Hewlett Packard Development Company, L.P.";"20140710";"7.3.3.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSASMT01.FNBM.CORP";;;;;;;
"Matrox Graphics Software (remove only)";"LASSASMT01.FNBM.CORP";"Matrox Graphics Inc.";;"4.0.1.5";;;;
"Microsoft Access database engine 2010 (English)";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20171021";"14.0.6029.1000";;;;
"Microsoft AS OLE DB Provider for SQL Server 2012";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20160319";"11.0.2100.60";;;;
"Microsoft AS OLE DB Provider for SQL Server 2012";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20160319";"11.0.2100.60";;;;
"Microsoft Baseline Security Analyzer 2.2";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20140127";"2.2.2170";;;;
"Microsoft Silverlight";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20160319";"11.0.2100.60";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20140124";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20140320";"8.0.59193";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20140124";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20140124";"8.0.59192";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20140326";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20140124";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20140331";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20140426";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20140426";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
