"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASSCANPATH02.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Fleet Admin Pro 1.00.050";"LASSCANPATH02.FNBM.CORP";"Samsung Electronics Co., Ltd.";;"1.00.050";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSCANPATH02.FNBM.CORP";;;;;;;
"Microsoft Silverlight";"LASSCANPATH02.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASSCANPATH02.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASSCANPATH02.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASSCANPATH02.FNBM.CORP";"Microsoft Corporation";"20160203";"9.0.30729.6161";;;;
"Prism Samsung XOA Connector";"LASSCANPATH02.FNBM.CORP";"Prism Software";"20161108";"2.0.53";;;;
"ScanPath";"LASSCANPATH02.FNBM.CORP";"Prism Software";"20161108";"3.4.162";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASSCANPATH02.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASSCANPATH02.FNBM.CORP";"Symantec Corporation";"20180323";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASSCANPATH02.FNBM.CORP";"VMware, Inc.";"20171216";"10.1.7.5541682";;;;
