"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASSDSTUDIO01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Decision Analytics Servers v1.5 SP1";"LASSDSTUDIO01.FNBM.CORP";;;"1.5.1";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSDSTUDIO01.FNBM.CORP";;;;;;;
"Java 7 Update 80 (64-bit)";"LASSDSTUDIO01.FNBM.CORP";"Oracle";"20160414";"7.0.800";;;;
"Microsoft Silverlight";"LASSDSTUDIO01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASSDSTUDIO01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASSDSTUDIO01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASSDSTUDIO01.FNBM.CORP";"Microsoft Corporation";"20160216";"9.0.30729.6161";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASSDSTUDIO01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASSDSTUDIO01.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASSDSTUDIO01.FNBM.CORP";"VMware, Inc.";"20180224";"10.1.7.5541682";;;;
