"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASSFSUPG01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"IBM Data Server Driver Package - IBMDBCL1";"LASSFSUPG01.FNBM.CORP";"IBM";"20110819";"9.7.400.501";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSFSUPG01.FNBM.CORP";;;;;;;
"Microsoft .NET Framework 4.5.2";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"4.5.51209";;;;
"Microsoft Access database engine 2010 (English)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20150910";"14.0.6029.1000";;;;
"Microsoft Chart Controls for Microsoft .NET Framework 3.5 (KB2500170)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20110915";"3.5.30730.0";;;;
"Microsoft Filter Pack 2.0";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20150416";"14.0.7015.1000";;;;
"Microsoft Office 2003 Web Components";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20150910";"12.0.6213.1000";;;;
"Microsoft Report Viewer Redistributable 2008 SP1";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft Server Speech Platform Runtime (x64)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20110531";"10.0.7135.0";;;;
"Microsoft Server Speech Recognition Language - TELE (en-US)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20110531";"10.0.7135.0";;;;
"Microsoft SharePoint Foundation 2010";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"14.0.6029.1000";;;;""
"Microsoft Silverlight";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20150514";"5.1.40416.0";;;;
"Microsoft SQL Server 2008 Analysis Services ADOMD.NET";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20110531";"10.1.2531.0";;;;
"Microsoft SQL Server 2008 R2 (64-bit)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2008 R2 Native Client";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20150922";"10.53.6000.34";;;;
"Microsoft SQL Server 2008 R2 Policies";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20110531";"10.50.1600.1";;;;
"Microsoft SQL Server 2008 R2 Setup (English)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20150922";"10.53.6000.34";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20110531";"10.1.2731.0";;;;
"Microsoft SQL Server Browser";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20150922";"10.53.6000.34";;;;
