"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"14.0.1000.169";;;;
"BMC Track-It! 11.3 Agent";"LASSKYPE01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"IIS URL Rewrite Module 2";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"7.2.1952";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSKYPE01.FNBM.CORP";;;;;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"4.5.51209";;;;
"Microsoft Help Viewer 2.2";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft Identity Extensions";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"2.0.1459.0";;;;
"Microsoft ODBC Driver 11 for SQL Server";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"12.0.2000.8";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"14.0.1000.169";;;;
"Microsoft Server Speech Platform Runtime (x64)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (ca-ES, Herena)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (da-DK, Helle)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (de-DE, Hedda)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (en-AU, Hayley)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (en-CA, Heather)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (en-GB, Hazel)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (en-IN, Heera)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (en-US, Helen)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (es-ES, Helena)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (es-MX, Hilda)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (fi-FI, Heidi)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (fr-CA, Harmonie)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (fr-FR, Hortense)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (it-IT, Lucia)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (ja-JP, Haruka)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (ko-KR, Heami)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (nb-NO, Hulda)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (nl-NL, Hanna)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (pl-PL, Paulina)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (pt-BR, Heloisa)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (pt-PT, Helia)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (ru-RU, Elena)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (sv-SE, Hedvig)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (zh-CN, HuiHui)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (zh-HK, HunYee)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Server Speech Text to Speech Voice (zh-TW, HanHan)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"11.0.7400.345";;;;
"Microsoft Silverlight";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170624";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"11.3.6540.0";;;;
"Microsoft SQL Server 2014 (64-bit)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2014 Management Objects ";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"12.0.2000.8";;;;
"Microsoft SQL Server 2014 Management Objects  (x64)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"12.0.2000.8";;;;
"Microsoft SQL Server 2014 Setup (English)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"12.0.2000.8";;;;
"Microsoft SQL Server 2014 Transact-SQL ScriptDom ";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"12.0.2000.8";;;;
"Microsoft SQL Server 2017";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2017 Policies ";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"14.0.1000.169";;;;
"Microsoft SQL Server 2017 T-SQL Language Service ";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"14.0.17224.0";;;;
"Microsoft SQL Server Data-Tier Application Framework (x86)";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"14.0.3953.4";;;;
"Microsoft SQL Server Management Studio - 17.5";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";;"14.0.17224.0";;;;
"Microsoft System CLR Types for SQL Server 2014";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"12.0.2000.8";;;;
"Microsoft System CLR Types for SQL Server 2014";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"12.0.2402.11";;;;
"Microsoft System CLR Types for SQL Server 2017";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20180307";"14.0.1000.169";;;;
"Microsoft Unified Communications Managed API 5.0, Core Runtime 64-bit";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20171216";"6.0.9319.510";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20160216";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASSKYPE01.FNBM.CORP";"Microsoft Corporation";"20170326";"10.0.40219";;;;
