"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Rights Management Services Client 2.1";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170327";"1.0.3102.0221";;;;
"AppFabric 1.1 for Windows Server";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";;"1.1.2106.32";;;;
"BMC Track-It! 11.3 Agent";"LASSP02TST.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"GSKit8 SSL 32-bit";"LASSP02TST.FNBM.CORP";"IBM";"20171117";"8.0.50.20";;;;
"GSKit8 SSL 64-bit";"LASSP02TST.FNBM.CORP";"IBM";"20171117";"8.0.50.75";;;;
"IBM Informix Client SDK 4.10.TC4";"LASSP02TST.FNBM.CORP";"IBM";;"4.10.TC4";;;;
"IIS URL Rewrite Module 2";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20180410";"7.2.1980";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSP02TST.FNBM.CORP";;;;;;;
"Informix Client-SDK 4.10.FC9";"LASSP02TST.FNBM.CORP";"IBM";;"4.10.FC9";;;;
"Microsoft CCR and DSS Runtime 2008 R3";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170327";"2.2.760";;;;
"Microsoft Identity Extensions";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170327";"2.0.1459.0";;;;
"Microsoft ODBC Driver 11 for SQL Server";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170324";"12.2.5543.11";;;;
"Microsoft SharePoint Server 2016";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";;"16.0.4351.1000";;;;
"Microsoft Silverlight";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170615";"5.1.50906.0";;;;
"Microsoft SQL Server 2005 Analysis Services ADOMD.NET";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170327";"9.00.1399.06";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170330";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170324";"11.1.3000.0";;;;
"Microsoft SQL Server 2016 (64-bit)";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 PowerPivot - SharePoint ";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170824";"13.0.1601.5";;;;
"Microsoft SQL Server 2016 RS Addin for SharePoint ";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20180130";"13.1.4435.0";;;;
"Microsoft SQL Server 2016 Setup (English)";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20180130";"13.1.4435.0";;;;
"Microsoft Sync Framework Runtime v1.0 SP1 (x86)";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170327";"1.0.3010.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20171117";"9.0.30729";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170309";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20171117";"9.0.30729";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170309";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170511";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170330";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20170330";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23026";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";;"14.0.23026.0";;;;
"Microsoft Web Platform Installer 5.0";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";"20180410";"5.0.50430.0";;;;
"Sharegate Extension";"LASSP02TST.FNBM.CORP";"Sharegate";"20170607";"1.10.2";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASSP02TST.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASSP02TST.FNBM.CORP";"Symantec Corporation";"20180215";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASSP02TST.FNBM.CORP";"VMware, Inc.";"20180129";"10.1.7.5541682";;;;
"WCF Data Services 5.6 Tools";"LASSP02TST.FNBM.CORP";"Microsoft Corporation";;"5.6.61587.0";;;;
