"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Rights Management Services Client 2.1";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"1.0.3102.0221";;;;
"AppFabric 1.1 for Windows Server";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";;"1.1.2106.32";;;;
"BMC Track-It! 11.3 Agent";"LASSPENT02.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"LASSPENT02.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"IIS URL Rewrite Module 2";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20180426";"7.2.1980";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSPENT02.FNBM.CORP";;;;;;;
"Microsoft CCR and DSS Runtime 2008 R3";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"2.2.760";;;;
"Microsoft Identity Extensions";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"2.0.1459.0";;;;
"Microsoft ODBC Driver 11 for SQL Server";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"12.2.5543.11";;;;
"Microsoft SharePoint Server 2016";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";;"16.0.4351.1000";;;;
"Microsoft Silverlight";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170721";"5.1.50907.0";;;;
"Microsoft SQL Server 2005 Analysis Services ADOMD.NET";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170707";"9.00.1399.06";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170710";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"11.1.3000.0";;;;
"Microsoft SQL Server 2016 (64-bit)";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 RS Addin for SharePoint ";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170713";"13.0.1601.5";;;;
"Microsoft SQL Server 2016 Setup (English)";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170710";"13.0.1601.5";;;;
"Microsoft Sync Framework Runtime v1.0 SP1 (x86)";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"1.0.3010.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170523";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170523";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170721";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170710";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170710";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
"Sharegate Extension";"LASSPENT02.FNBM.CORP";"Sharegate";"20170710";"1.10.2";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASSPENT02.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASSPENT02.FNBM.CORP";"Symantec Corporation";"20180418";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASSPENT02.FNBM.CORP";"VMware, Inc.";"20171213";"10.1.7.5541682";;;;
"WCF Data Services 5.6 Tools";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";;"5.6.61587.0";;;;
