"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASSPSQL01TST.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Browser for SQL Server 2016";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20180129";"13.1.4001.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSPSQL01TST.FNBM.CORP";;;;;;;
"Microsoft Help Viewer 1.1";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";;"1.1.40219";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20180129";"13.1.4001.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20170315";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20170315";"11.3.6518.0";;;;
"Microsoft SQL Server 2016 (64-bit)";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 RS Addin for SharePoint ";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20180129";"13.1.4435.0";;;;
"Microsoft SQL Server 2016 Setup (English)";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20180129";"13.1.4435.0";;;;
"Microsoft SQL Server 2016 T-SQL Language Service ";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20170315";"13.0.14500.10";;;;
"Microsoft SQL Server 2016 T-SQL ScriptDom ";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20180129";"13.1.4001.0";;;;
"Microsoft SQL Server Data-Tier Application Framework (x86)";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20170315";"13.0.3225.4";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20170309";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20170309";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20170315";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20170315";"10.0.40219";;;;
"Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23506";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";;"14.0.23506.0";;;;
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23506";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";;"14.0.23506.0";;;;
"Microsoft Visual Studio Tools for Applications 2015";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";;"14.0.23829";;;;
"Microsoft Visual Studio Tools for Applications 2015 Language Support";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";;"14.0.23107.10";;;;
"Microsoft VSS Writer for SQL Server 2016";"LASSPSQL01TST.FNBM.CORP";"Microsoft Corporation";"20180129";"13.1.4001.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASSPSQL01TST.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASSPSQL01TST.FNBM.CORP";"Symantec Corporation";"20180215";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASSPSQL01TST.FNBM.CORP";"VMware, Inc.";"20180129";"10.1.7.5541682";;;;
