"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Rights Management Services Client 2.1";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170104";"1.0.959.0";;;;
"AppFabric 1.1 for Windows Server";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";;"1.1.2106.32";;;;
"BMC Track-It! 11.3 Agent";"LASSPTST01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSPTST01.FNBM.CORP";;;;;;;
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20161227";"4.0.30319";;;;
"Microsoft ASP.NET MVC 4 Runtime";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170112";"4.0.40804.0";;;;
"Microsoft CCR and DSS Runtime 2008 R3";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170103";"2.2.760";;;;
"Microsoft Help Viewer 1.1";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";;"1.1.40219";;;;
"Microsoft Identity Extensions";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170103";"2.0.1459.0";;;;
"Microsoft SharePoint Server 2013";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";;"15.0.4569.1506";;;;
"Microsoft Silverlight";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170615";"5.1.50906.0";;;;
"Microsoft SQL Server 2005 Analysis Services ADOMD.NET";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170104";"9.00.1399.06";;;;
"Microsoft SQL Server 2008 R2 Native Client";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170103";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170113";"10.1.2731.0";;;;
"Microsoft SQL Server 2012 (64-bit)";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2012 Native Client ";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170112";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 RS Add-in for SharePoint ";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170113";"11.1.3000.0";;;;
