"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170622";"13.0.1601.5";;;;
"Active Directory Rights Management Services Client 2.1";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170711";"1.0.3102.0221";;;;
"AppFabric 1.1 for Windows Server";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;"1.1.2106.32";;;;
"BMC Track-It! 11.3 Agent";"LASSQL04.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Browser for SQL Server 2016";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170623";"13.1.4001.0";;;;
"Commvault ContentStore";"LASSQL04.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"GSKit8 SSL 32-bit";"LASSQL04.FNBM.CORP";"IBM";"20171025";"8.0.50.20";;;;
"GSKit8 SSL 64-bit";"LASSQL04.FNBM.CORP";"IBM";"20171025";"8.0.50.75";;;;
"IBM Informix Client SDK 4.10.TC4";"LASSQL04.FNBM.CORP";"IBM";;"4.10.TC4";;;;
"iLO 3/4 Management Controller Driver Package";"LASSQL04.FNBM.CORP";"Hewlett Packard Enterprise";;"3.30.0.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSQL04.FNBM.CORP";;;;;;;
"Informix Client-SDK 4.10.FC9";"LASSQL04.FNBM.CORP";"IBM";;"4.10.FC9";;;;
"Matrox Graphics Software (remove only)";"LASSQL04.FNBM.CORP";"Matrox Graphics Inc.";;"4.3.1.5";;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170622";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170622";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170622";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170622";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170622";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170622";"4.5.51209";;;;
"Microsoft Access database engine 2010 (English)";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20171106";"14.0.7015.1000";;;;
"Microsoft CCR and DSS Runtime 2008 R3";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170711";"2.2.760";;;;
"Microsoft Help Viewer 1.1";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;"1.1.40219";;;;
"Microsoft Help Viewer 2.2";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft Identity Extensions";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170713";"2.0.1459.0";;;;
"Microsoft ODBC Driver 11 for SQL Server";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170711";"12.2.5543.11";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170623";"13.1.4001.0";;;;
"Microsoft SharePoint Server 2016";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;"16.0.4351.1000";;;;
"Microsoft Silverlight";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170608";"5.1.50906.0";;;;
"Microsoft SQL Server 2005 Analysis Services ADOMD.NET";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170713";"9.00.1399.06";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170616";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170616";"11.3.6518.0";;;;
"Microsoft SQL Server 2014 Management Objects ";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170622";"12.0.2000.8";;;;
"Microsoft SQL Server 2016";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 (64-bit)";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 Policies ";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170622";"13.0.1601.5";;;;
"Microsoft SQL Server 2016 RS Addin for SharePoint ";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170627";"13.1.4435.0";;;;
"Microsoft SQL Server 2016 Setup (English)";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170623";"13.1.4435.0";;;;
"Microsoft SQL Server 2016 T-SQL Language Service ";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170616";"13.0.14500.10";;;;
"Microsoft SQL Server 2016 T-SQL ScriptDom ";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170623";"13.1.4001.0";;;;
"Microsoft SQL Server Data-Tier Application Framework (x86)";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170622";"13.0.3560.4";;;;
"Microsoft SQL Server Management Studio - 16.5.3";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;"13.0.16106.4";;;;
"Microsoft Sync Framework Runtime v1.0 SP1 (x86)";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170713";"1.0.3010.0";;;;
"Microsoft System CLR Types for SQL Server 2014";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170622";"12.0.2402.11";;;;
"Microsoft System CLR Types for SQL Server 2016";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170622";"13.0.1601.5";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20171222";"8.0.56336";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20171025";"9.0.30729";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20171025";"9.0.30729";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170616";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASSQL04.FNBM.CORP";"Microsoft Corporation";"20170616";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23026";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;"14.0.23026.0";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASSQL04.FNBM.CORP";"Microsoft Corporation";;"14.0.23107.10";;;;
