"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.1000.169";;;;
"Browser for SQL Server 2016";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180124";"13.1.4001.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSQLONTST01.FNBM.CORP";;;;;;;
"Kerberos Configuration Manager for SQL Server";"LASSQLONTST01.FNBM.CORP";"Microsoft";"20180110";"4.1.0";;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"4.5.51209";;;;
"Microsoft Help Viewer 1.1";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";;"1.1.40219";;;;
"Microsoft Help Viewer 2.2";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.1000.169";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"11.3.6540.0";;;;
"Microsoft SQL Server 2014 Management Objects ";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"12.0.2000.8";;;;
"Microsoft SQL Server 2016 (64-bit)";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 Setup (English)";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180124";"13.1.4451.0";;;;
"Microsoft SQL Server 2016 T-SQL Language Service ";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"13.0.14500.10";;;;
"Microsoft SQL Server 2016 T-SQL ScriptDom ";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180124";"13.1.4001.0";;;;
"Microsoft SQL Server 2017";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2017 Policies ";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.1000.169";;;;
"Microsoft SQL Server 2017 T-SQL Language Service ";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.17213.0";;;;
"Microsoft SQL Server Data-Tier Application Framework (x86)";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.3881.1";;;;
"Microsoft SQL Server Management Studio - 17.4";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";;"14.0.17213.0";;;;
"Microsoft System CLR Types for SQL Server 2014";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"12.0.2402.11";;;;
"Microsoft System CLR Types for SQL Server 2017";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.1000.169";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20171220";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20171220";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";"20180109";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23506";"LASSQLONTST01.FNBM.CORP";"Microsoft Corporation";;"14.0.23506.0";;;;
