"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"ATI Display Driver";"LASSQLTST03.FNBM.CORP";;;"8.24.50.5-090623a-083726C-HP";;;;
"BMC Track-It! 11.3 Agent";"LASSQLTST03.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Headless Server Registry Update";"LASSQLTST03.FNBM.CORP";"Hewlett-Packard Company";"20101213";"1.0.0.0";;;;
"HP Array Configuration Utility";"LASSQLTST03.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20111006";"8.75.12.0";;;;
"HP Array Configuration Utility CLI";"LASSQLTST03.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20111006";"8.75.12.0";;;;
"HP Insight Management WBEM Providers for Windows Server 2003/2008 x64 Editions";"LASSQLTST03.FNBM.CORP";"Hewlett-Packard Company";;"2.8.0.0";;;;
"HP Lights-Out Online Configuration Utility";"LASSQLTST03.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20111006";"3.2.0.0";;;;
"HP ProLiant iLO 3 Management Controller Package";"LASSQLTST03.FNBM.CORP";"Hewlett-Packard Company";;"3.3.1.0";;;;
"HP ProLiant PCI-express Power Management Update for Windows";"LASSQLTST03.FNBM.CORP";"Hewlett-Packard Company";"20101213";"1.3.0.0";;;;
"HP Smart Array SAS/SATA Event Notification Service";"LASSQLTST03.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20110910";"6.24.0.64";;;;
"HP Version Control Agent";"LASSQLTST03.FNBM.CORP";"Hewlett Packard Development Company, L.P.";"20140710";"7.3.3.0";;;;
"Idera SQL diagnostic manager (x64)";"LASSQLTST03.FNBM.CORP";"Idera";"20130117";"7.5.3.403";;;;
"iLO 3/4 Channel Interface Driver";"LASSQLTST03.FNBM.CORP";"Hewlett Packard Enterprise";;"3.30.0.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSQLTST03.FNBM.CORP";;;;;;;
"Kerberos Configuration Manager for SQL Server";"LASSQLTST03.FNBM.CORP";"Microsoft";"20140522";"2.0.0";;;;
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"4.0.30319";;;;
"Microsoft .NET Framework 4.5.2";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";;"4.5.51209";;;;
"Microsoft Baseline Configuration Analyzer 2.0";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20140114";"2.0.208.0";;;;
"Microsoft Help Viewer 1.1";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";;"1.1.40219";;;;
"Microsoft ODBC Driver 11 for SQL Server";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"12.1.4100.1";;;;
"Microsoft Office 2003 Web Components";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20170511";"12.0.6213.1000";;;;
"Microsoft Report Viewer 2012 Runtime";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"11.0.2100.60";;;;
"Microsoft Report Viewer 2014 Runtime";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"12.0.2000.8";;;;
"Microsoft Report Viewer Redistributable 2008 SP1";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft Silverlight";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 R2 (64-bit)";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2008 R2 BPA";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20140114";"10.50.9810.1";;;;
"Microsoft SQL Server 2008 R2 Management Objects";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 R2 Native Client";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20170307";"10.53.6542.0";;;;
"Microsoft SQL Server 2008 R2 Policies";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20110211";"10.50.1600.1";;;;
"Microsoft SQL Server 2008 R2 Setup (English)";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20170307";"10.53.6542.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 (64-bit)";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Management Objects ";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Native Client ";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Policies ";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Setup (English)";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Transact-SQL Compiler Service ";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 T-SQL Language Service ";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"11.0.2100.60";;;;
"Microsoft SQL Server 2014 (64-bit)";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2014 Policies ";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"12.0.2000.8";;;;
"Microsoft SQL Server 2014 Setup (English)";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"12.1.4100.1";;;;
"Microsoft SQL Server 2014 Transact-SQL Compiler Service ";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"12.1.4100.1";;;;
"Microsoft SQL Server 2014 Transact-SQL ScriptDom ";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"12.1.4100.1";;;;
"Microsoft SQL Server Compact 3.5 SP2 ENU";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20110211";"3.5.8080.0";;;;
"Microsoft SQL Server Compact 3.5 SP2 Query Tools ENU";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20110211";"3.5.8080.0";;;;
"Microsoft SQL Server Data Tools – Database Projects – Web installer entry point";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"10.3.20116.0";;;;
"Microsoft SQL Server System CLR Types";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"10.51.2500.0";;;;
"Microsoft SQL Server System CLR Types (x64)";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20150915";"10.53.6000.34";;;;
"Microsoft System CLR Types for SQL Server 2012";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"11.0.2100.60";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"11.0.2100.60";;;;
"Microsoft System CLR Types for SQL Server 2014";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"12.1.4100.1";;;;
"Microsoft Visual C++ 2005 ATL Update kb973923 - x86 8.0.50727.4053";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20110210";"8.0.50727.4053";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20110616";"8.0.61001";;;;
