"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AccuRev";"LASSTGDEV01.FNBM.CORP";"AccuRev";"Fri Jun 19 11:06:56 PDT 2015";"5.7.0.0";;;;
"BMC Track-It! 11.3 Agent";"LASSTGDEV01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Entity Framework Designer for Visual Studio 2012 - enu";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.1.30729.00";;;;
"Google Chrome";"LASSTGDEV01.FNBM.CORP";"Google Inc.";"20151125";"67.0.3396.99";;;;
"IBM WebSphere MQ (fix pack 7.5.0.4 files)";"LASSTGDEV01.FNBM.CORP";"IBM";"Fri Jun 19 11:55:45 PDT 2015";"7.5.0.4";;;;
"IBM WebSphere MQ (Installation1)";"LASSTGDEV01.FNBM.CORP";"IBM";"20150619";"7.5.0.1";;;;
"IIS 8.0 Express";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"8.0.1557";;;;
"IIS Express Application Compatibility Database for x64";"LASSTGDEV01.FNBM.CORP";;;;;;;
"IIS Express Application Compatibility Database for x86";"LASSTGDEV01.FNBM.CORP";;;;;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASSTGDEV01.FNBM.CORP";;;;;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"4.5.50709";;;;
"Microsoft .NET Framework 4.5 SDK";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"4.5.50709";;;;
"Microsoft Access database engine 2010 (English)";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20171207";"14.0.7015.1000";;;;
"Microsoft ASP.NET MVC 3";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"3.0.20105.0";;;;
"Microsoft ASP.NET Web Pages";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"1.0.20105.0";;;;
"Microsoft Help Viewer 2.0";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";;"2.0.50727";;;;
"Microsoft Office Access database engine 2007 (English)";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20170817";"12.0.6612.1000";;;;
"Microsoft Silverlight";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft Silverlight 4 SDK";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"4.0.60310.0";;;;
"Microsoft Silverlight 5 SDK";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"5.0.61118.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.2316.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.2316.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Transact-SQL Compiler Service ";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 T-SQL Language Service ";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.2100.60";;;;
"Microsoft SQL Server Compact 4.0 SP1 x64 ENU";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"4.0.8876.1";;;;
