"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASTAB02.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"HP ProLiant iLO 3/4 Channel Interface Driver";"LASTAB02.FNBM.CORP";"Hewlett-Packard Company";;"3.10.0.0";;;;
"HP ProLiant iLO 3/4 Management Controller Package";"LASTAB02.FNBM.CORP";"Hewlett-Packard Company";;"3.20.0.0";;;;
"Microsoft Access database engine 2010 (English)";"LASTAB02.FNBM.CORP";"Microsoft Corporation";"20171021";"14.0.7015.1000";;;;
"Microsoft Silverlight";"LASTAB02.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 R2 Native Client";"LASTAB02.FNBM.CORP";"Microsoft Corporation";"20170607";"10.50.1600.1";;;;
"Microsoft SQL Server 2012 Native Client ";"LASTAB02.FNBM.CORP";"Microsoft Corporation";"20170607";"11.3.6020.0";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASTAB02.FNBM.CORP";"Microsoft Corporation";"20170520";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASTAB02.FNBM.CORP";"Microsoft Corporation";"20170520";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASTAB02.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASTAB02.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.24215";"LASTAB02.FNBM.CORP";"Microsoft Corporation";;"14.0.24215.1";;;;
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.24215";"LASTAB02.FNBM.CORP";"Microsoft Corporation";;"14.0.24215.1";;;;
"psqlODBC_x64";"LASTAB02.FNBM.CORP";"PostgreSQL Global Development Group";"20180718";"09.06.0201";;;;
"Smart Storage Administrator";"LASTAB02.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170418";"2.65.7.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASTAB02.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"SQL Server 2008 R2 Analysis Services OLE DB Provider";"LASTAB02.FNBM.CORP";"Microsoft Corporation";"20170810";"10.50.1600.1";;;;
"Symantec Endpoint Protection";"LASTAB02.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"Tableau Server Worker 10.4 (10400.18.0404.0923)";"LASTAB02.FNBM.CORP";"Tableau Software";"20180718";;;;;
"Veritas InfoScale Operations Manager (Host Component)";"LASTAB02.FNBM.CORP";"Veritas Technologies LLC";;"7.3.1.400";;;;"0"
"Veritas InfoScale Storage 7.2 for Windows ";"LASTAB02.FNBM.CORP";"Veritas Technologies LLC";"11.10.2005.11.10 10:33:24 PST";"7.2";;;;
"VRTSvbs";"LASTAB02.FNBM.CORP";"Veritas Technologies LLC";"20170502";"7.2.00000.000";;;;
