"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.1000.169";;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"4.5.51209";;;;
"Microsoft Access database engine 2010 (English)";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.7015.1000";;;;
"Microsoft Access database engine 2016 (English)";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"16.0.4519.1000";;;;
"Microsoft Help Viewer 2.2";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft ODBC Driver 11 for SQL Server";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180724";"12.2.5543.11";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.1000.169";;;;
"Microsoft ODBC Driver 17 for SQL Server";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180724";"17.2.0.1";;;;
"Microsoft SQL Server 2005 Analysis Services 9.0 OLEDB Provider";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"9.00.1399.06";;;;
"Microsoft SQL Server 2008 Native Client";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180724";"10.0.1600.22";;;;
"Microsoft SQL Server 2012 Native Client ";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"11.3.6540.0";;;;
"Microsoft SQL Server 2014 Management Objects ";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"12.0.2000.8";;;;
"Microsoft SQL Server 2017";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2017 Policies ";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.1000.169";;;;
"Microsoft SQL Server 2017 T-SQL Language Service ";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.17230.0";;;;
"Microsoft SQL Server Data-Tier Application Framework (x86)";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.3953.4";;;;
"Microsoft SQL Server Management Studio - 17.6";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";;"14.0.17230.0";;;;
"Microsoft System CLR Types for SQL Server 2014";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"12.0.2402.11";;;;
"Microsoft System CLR Types for SQL Server 2017";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.1000.169";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180720";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180720";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
