"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASTABGW01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Microsoft Access database engine 2010 (English)";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";"20171021";"14.0.7015.1000";;;;
"Microsoft Silverlight";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";"20170624";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 R2 Native Client";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";"20170607";"10.50.1600.1";;;;
"Microsoft SQL Server 2012 Native Client ";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";"20170607";"11.3.6020.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";"20160216";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";"20170525";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";"20170525";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.24215";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";;"14.0.24215.1";;;;
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.24215";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";;"14.0.24215.1";;;;
"Notepad++ (32-bit x86)";"LASTABGW01.FNBM.CORP";"Notepad++ Team";;"7.5.8";;;;
"psqlODBC_x64";"LASTABGW01.FNBM.CORP";"PostgreSQL Global Development Group";"20180718";"09.06.0201";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASTABGW01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"SQL Server 2008 R2 Analysis Services OLE DB Provider";"LASTABGW01.FNBM.CORP";"Microsoft Corporation";"20170810";"10.50.1600.1";;;;
"Symantec Endpoint Protection";"LASTABGW01.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"Tableau Server 10.4 (10400.18.0404.0923)";"LASTABGW01.FNBM.CORP";"Tableau Software";"20180718";"10.4";;;;
"VMware Tools";"LASTABGW01.FNBM.CORP";"VMware, Inc.";"20180224";"10.1.7.5541682";;;;
