"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft SQL Server 2012 Native Client ";"LASTABTST10.FNBM.CORP";"Microsoft Corporation";"20180618";"11.3.6020.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASTABTST10.FNBM.CORP";"Microsoft Corporation";"20180205";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASTABTST10.FNBM.CORP";"Microsoft Corporation";"20180205";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASTABTST10.FNBM.CORP";"Microsoft Corporation";"20180313";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASTABTST10.FNBM.CORP";"Microsoft Corporation";"20180313";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASTABTST10.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASTABTST10.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.24215";"LASTABTST10.FNBM.CORP";"Microsoft Corporation";;"14.0.24215.1";;;;
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.24215";"LASTABTST10.FNBM.CORP";"Microsoft Corporation";;"14.0.24215.1";;;;
"psqlODBC_x64";"LASTABTST10.FNBM.CORP";"PostgreSQL Global Development Group";"20180427";"09.06.0201";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASTABTST10.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASTABTST10.FNBM.CORP";"Symantec Corporation";"20180301";"14.0.3876.1100";;;;"0"
"Tableau Server Worker 10.4 (10400.18.0404.0923)";"LASTABTST10.FNBM.CORP";"Tableau Software";"20180427";;;;;
"VMware Tools";"LASTABTST10.FNBM.CORP";"VMware, Inc.";"20180205";"10.1.7.5541682";;;;
