"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASTELCOTST01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASTELCOTST01.FNBM.CORP";;;;;;;
"Java 7 Update 67";"LASTELCOTST01.FNBM.CORP";"Oracle";"20140911";"7.0.670";;;;
"Java 7 Update 67 (64-bit)";"LASTELCOTST01.FNBM.CORP";"Oracle";"20140911";"7.0.670";;;;
"Java SE Development Kit 8 Update 20";"LASTELCOTST01.FNBM.CORP";"Oracle Corporation";"20140911";"8.0.200.26";;;;
"Java SE Development Kit 8 Update 20 (64-bit)";"LASTELCOTST01.FNBM.CORP";"Oracle Corporation";"20140911";"8.0.200.26";;;;
"Microsoft .NET Framework 4.5.2";"LASTELCOTST01.FNBM.CORP";"Microsoft Corporation";;"4.5.51209";;;;
"Microsoft Baseline Security Analyzer 2.2";"LASTELCOTST01.FNBM.CORP";"Microsoft Corporation";"20140911";"2.2.2170";;;;
"Microsoft SAPI Speech";"LASTELCOTST01.FNBM.CORP";"Avaya";"20140915";"1.0.0";;;;
"Microsoft Silverlight";"LASTELCOTST01.FNBM.CORP";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"LASTELCOTST01.FNBM.CORP";"Microsoft Corporation";"20140910";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASTELCOTST01.FNBM.CORP";"Microsoft Corporation";"20140910";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASTELCOTST01.FNBM.CORP";"Microsoft Corporation";"20140910";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASTELCOTST01.FNBM.CORP";"Microsoft Corporation";"20140912";"9.0.30729.6161";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASTELCOTST01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASTELCOTST01.FNBM.CORP";"Symantec Corporation";"20180301";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASTELCOTST01.FNBM.CORP";"VMware, Inc.";"20140910";"9.0.10.29005";;;;
"Windows Resource Kit Tools";"LASTELCOTST01.FNBM.CORP";"Microsoft Corporation";"20140911";"5.2.3790";;;;
"Windows Software Development Kit for Windows 8.1";"LASTELCOTST01.FNBM.CORP";"Microsoft Corporation";;"8.100.26898";;;;
