"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"IIS URL Rewrite Module 2";"LASTEST04AEM02.FNBM.CORP";"Microsoft Corporation";"20180522";"7.2.1980";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASTEST04AEM02.FNBM.CORP";;;;;;;
"Microsoft Application Request Routing 3.0";"LASTEST04AEM02.FNBM.CORP";"Microsoft Corporation";"20180727";"3.0.1988";;;;
"Microsoft External Cache";"LASTEST04AEM02.FNBM.CORP";"Microsoft Corporation";"20180727";"1.1.1949";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASTEST04AEM02.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASTEST04AEM02.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Web Deploy 3.6";"LASTEST04AEM02.FNBM.CORP";"Microsoft Corporation";"20180522";"10.0.1973";;;;
"Microsoft Web Platform Installer 5.0";"LASTEST04AEM02.FNBM.CORP";"Microsoft Corporation";"20180522";"5.0.50430.0";;;;
"Notepad++ (32-bit x86)";"LASTEST04AEM02.FNBM.CORP";"Notepad++ Team";;"7.5.7";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASTEST04AEM02.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"VMware Tools";"LASTEST04AEM02.FNBM.CORP";"VMware, Inc.";"20180116";"10.1.7.5541682";;;;
"Windows Resource Kit Tools";"LASTEST04AEM02.FNBM.CORP";"Microsoft Corporation";"20180802";"5.2.3790";;;;
