"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AppDynamics .NET Agent";"LASTEST09WEB.FNBM.CORP";"AppDynamics";"20180620";"4.4.4.0";;;;
"IIS URL Rewrite Module 2";"LASTEST09WEB.FNBM.CORP";"Microsoft Corporation";"20180420";"7.2.2";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASTEST09WEB.FNBM.CORP";;;;;;;
"Microsoft Application Request Routing 3.0";"LASTEST09WEB.FNBM.CORP";"Microsoft Corporation";"20180427";"3.0.1988";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASTEST09WEB.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASTEST09WEB.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.30319";"LASTEST09WEB.FNBM.CORP";"Microsoft Corporation";"20180420";"10.0.30319";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"LASTEST09WEB.FNBM.CORP";"Microsoft Corporation";"20180420";"10.0.30319";;;;
"Microsoft Web Deploy 3.5";"LASTEST09WEB.FNBM.CORP";"Microsoft Corporation";"20180420";"3.1237.1764";;;;
"Microsoft Web Platform Installer 5.0";"LASTEST09WEB.FNBM.CORP";"Microsoft Corporation";"20180420";"5.0.50430.0";;;;
"Microsoft WSE 3.0";"LASTEST09WEB.FNBM.CORP";"Microsoft Corporation";"20180420";"3.0.5305.0";;;;
"NCache";"LASTEST09WEB.FNBM.CORP";"Alachisoft";"20180420";"4.6.0.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASTEST09WEB.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASTEST09WEB.FNBM.CORP";"Symantec Corporation";"20180420";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASTEST09WEB.FNBM.CORP";"VMware, Inc.";"20180116";"10.1.7.5541682";;;;
"VMware Tools";"LASTEST09WEB.FNBM.CORP";"VMware, Inc.";"20180112";"10.1.0.4449150";;;;
