"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
".NET Core SDK 1.1.5 (x64)";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";;"1.1.5";;;;
"AccuRev";"LASTFSBUILD01.FNBM.CORP";"AccuRev";"Thu Mar 30 15:27:00 PDT 2017";"5.7.0.0";;;;
"Android SDK Tools";"LASTFSBUILD01.FNBM.CORP";"Google Inc.";;"1.16";;;;
"Application Insights Tools for Visual Studio 2015";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"7.0.20622.1";;;;
"BMC Track-It! 11.3 Agent";"LASTFSBUILD01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Cocos Creator";"LASTFSBUILD01.FNBM.CORP";"Chukong Technologies";;"1.5.2.0";;;;
"Commvault ContentStore";"LASTFSBUILD01.FNBM.CORP";"Commvault";;"11.80.120.0";;;;
"Entity Framework 6.1.3 Tools  for Visual Studio 2015 Update 1";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"14.0.41103.0";;;;
"Entity Framework Designer for Visual Studio 2012 - enu";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170419";"11.1.30729.00";;;;
"Epic Games Launcher";"LASTFSBUILD01.FNBM.CORP";"Epic Games, Inc.";"20180308";"1.1.91.0";;;;
"Git version 2.14.1";"LASTFSBUILD01.FNBM.CORP";"The Git Development Community";"20180308";"2.14.1";;;;
"Gtk# for .Net 2.12.26";"LASTFSBUILD01.FNBM.CORP";"Xamarin, Inc.";"20180308";"2.12.26";;;;
"IIS 10.0 Express";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20180308";"10.0.1738";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASTFSBUILD01.FNBM.CORP";;;;;;;
"Java 8 Update 171 (64-bit)";"LASTFSBUILD01.FNBM.CORP";"Oracle Corporation";"20180519";"8.0.1710.11";;;;
"Java SE Development Kit 8 Update 131";"LASTFSBUILD01.FNBM.CORP";"Oracle Corporation";"20180308";"8.0.1310.11";;;;
"Java SE Development Kit 8 Update 131 (64-bit)";"LASTFSBUILD01.FNBM.CORP";"Oracle Corporation";"20180308";"8.0.1310.11";;;;
"Java SE Development Kit 8 Update 171 (64-bit)";"LASTFSBUILD01.FNBM.CORP";"Oracle Corporation";"20180519";"8.0.1710.11";;;;
"Microsoft .NET Core SDK - 2.0.3 (x64)";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";;"2.0.3";;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"4.5.50710";;;;
"Microsoft .NET Framework 4.5 SDK";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170419";"4.5.50709";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"4.5.51651";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"4.5.51209";;;;
"Microsoft .NET Framework 4.6 SDK";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"4.6.00081";;;;
"Microsoft .NET Framework 4.6 Targeting Pack";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"4.6.00081";;;;
"Microsoft .NET Framework 4.6 Targeting Pack (ENU)";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"4.6.00127";;;;
"Microsoft .NET Framework 4.6.1 SDK";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"4.6.01055";;;;
"Microsoft .NET Framework 4.6.1 Targeting Pack";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"4.6.01055";;;;
"Microsoft .NET Framework 4.6.1 Targeting Pack (ENU)";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"4.6.01055";;;;
"Microsoft .NET Version Manager (x64) 1.0.0-beta5";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170331";"1.0.10609.0";;;;
"Microsoft AS OLE DB Provider for SQL Server 2016";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20180308";"13.0.1601.5";;;;
"Microsoft ASP.NET MVC 3";"LASTFSBUILD01.FNBM.CORP";"Microsoft Corporation";"20170419";"3.0.20105.0";;;;
