"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASTRITON01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASTRITON01.FNBM.CORP";;;;;;;
"Microsoft Command Line Utilities 11 for SQL Server";"LASTRITON01.FNBM.CORP";"Microsoft Corporation";"20160106";"11.0.2270.0";;;;
"Microsoft Exchange Web Services Managed API 2.0";"LASTRITON01.FNBM.CORP";"Microsoft Corporation";"20160106";"15.0.516.14";;;;
"Microsoft ODBC Driver 11 for SQL Server";"LASTRITON01.FNBM.CORP";"Microsoft Corporation";"20160106";"11.0.2270.0";;;;
"Microsoft SharePoint Client Runtime";"LASTRITON01.FNBM.CORP";"Microsoft Corporation";"20160106";"14.0.4763.1041";;;;
"Microsoft Silverlight";"LASTRITON01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASTRITON01.FNBM.CORP";"Microsoft Corporation";"20160106";"11.0.2100.60";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASTRITON01.FNBM.CORP";"Microsoft Corporation";"20151223";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASTRITON01.FNBM.CORP";"Microsoft Corporation";"20151223";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASTRITON01.FNBM.CORP";"Microsoft Corporation";"20160220";"9.0.30729.6161";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASTRITON01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASTRITON01.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"TRITON AP-DATA";"LASTRITON01.FNBM.CORP";"Websense, Inc.";;"8.1.0.151";;;;
"VMware Tools";"LASTRITON01.FNBM.CORP";"VMware, Inc.";"20180111";"10.1.7.5541682";;;;
"Websense TRITON AP-WEB/Web Filter & Security";"LASTRITON01.FNBM.CORP";"Websense, Inc.";"Wed Jan 06 08:58:22 PST 2016";"8.1.0.1438";;;;
"Websense TRITON Infrastructure";"LASTRITON01.FNBM.CORP";"Websense, Inc.";;"8.1.0.150";;;;
