"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"7-Zip 16.04 (x64)";"LASWSUS_DESKTOP.FNBM.CORP";"Igor Pavlov";;"16.04";;;;
"BMC Track-It! 11.3 Agent";"LASWSUS_DESKTOP.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASWSUS_DESKTOP.FNBM.CORP";;;;;;;
"Microsoft Report Viewer 2012 Runtime";"LASWSUS_DESKTOP.FNBM.CORP";"Microsoft Corporation";"20171005";"11.1.3452.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASWSUS_DESKTOP.FNBM.CORP";"Microsoft Corporation";"20171005";"11.0.2100.60";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASWSUS_DESKTOP.FNBM.CORP";"Microsoft Corporation";"20170523";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASWSUS_DESKTOP.FNBM.CORP";"Microsoft Corporation";"20170523";"9.0.30729.4148";;;;
"Notepad++ (32-bit x86)";"LASWSUS_DESKTOP.FNBM.CORP";"Notepad++ Team";;"7.5.1";;;;
"PDQ Deploy";"LASWSUS_DESKTOP.FNBM.CORP";"PDQ.com";"20171027";"14.2.0.0";;;;
"PDQ Inventory";"LASWSUS_DESKTOP.FNBM.CORP";"PDQ.com";"20180124";"15.1.0.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASWSUS_DESKTOP.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASWSUS_DESKTOP.FNBM.CORP";"Symantec Corporation";"20180323";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASWSUS_DESKTOP.FNBM.CORP";"VMware, Inc.";"20180224";"10.1.7.5541682";;;;
