"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"PHXCADD02.PHX.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"CorrectAddress";"PHXCADD02.PHX.FNBM.CORP";"Intelligent Search Technology";"20180719";"9.0";;;;
"Crystal Reports XI Release 2 .NET 2005 Server";"PHXCADD02.PHX.FNBM.CORP";"Business Objects";"20160208";"11.5.0.0";;;;
"Microsoft Silverlight";"PHXCADD02.PHX.FNBM.CORP";"Microsoft Corporation";"20170420";"5.1.50906.0";;;;
"Microsoft Visual C++ 2005 Redistributable";"PHXCADD02.PHX.FNBM.CORP";"Microsoft Corporation";"20160304";"8.0.56336";;;;
"Microsoft Visual C++ 2005 Redistributable";"PHXCADD02.PHX.FNBM.CORP";"Microsoft Corporation";"20160218";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"PHXCADD02.PHX.FNBM.CORP";"Microsoft Corporation";"20160216";"8.0.56336";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"PHXCADD02.PHX.FNBM.CORP";"Microsoft Corporation";"20160218";"8.0.61000";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PHXCADD02.PHX.FNBM.CORP";"Microsoft Corporation";"20151201";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17";"PHXCADD02.PHX.FNBM.CORP";"Microsoft Corporation";"20160208";"9.0.30729";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"PHXCADD02.PHX.FNBM.CORP";"Microsoft Corporation";"20151201";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"PHXCADD02.PHX.FNBM.CORP";"Microsoft Corporation";"20160121";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"PHXCADD02.PHX.FNBM.CORP";"Microsoft Corporation";"20160218";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"PHXCADD02.PHX.FNBM.CORP";"Microsoft Corporation";"20160218";"10.0.40219";;;;
"Microsoft Web Deploy 3.5";"PHXCADD02.PHX.FNBM.CORP";"Microsoft Corporation";"20170503";"3.1237.1764";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PHXCADD02.PHX.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PHXCADD02.PHX.FNBM.CORP";"Symantec Corporation";"20180121";"14.0.3876.1100";;;;"0"
"VMware Tools";"PHXCADD02.PHX.FNBM.CORP";"VMware, Inc.";"20170503";"10.0.6.3560309";;;;
"WinSCP 5.9.4";"PHXCADD02.PHX.FNBM.CORP";"Martin Prikryl";"20170320";"5.9.4";;;;
