"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"PHXCAPS06.PHX.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"PHXCAPS06.PHX.FNBM.CORP";"Commvault";;"11.80.70.0";;;;
"Microsoft Access database engine 2010 (English)";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20171020";"14.0.7015.1000";;;;
"Microsoft Silverlight";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20170420";"5.1.50906.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20151112";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20151112";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20151112";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20151112";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20151112";"11.0.2100.60";;;;
"Microsoft System CLR Types for SQL Server 2012";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20151112";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20151112";"11.1.3000.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20150410";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20150425";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Web Deploy 3.5";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20151112";"3.1237.1764";;;;
"Microsoft Web Platform Installer 5.0";"PHXCAPS06.PHX.FNBM.CORP";"Microsoft Corporation";"20151112";"5.0.50430.0";;;;
"SAP Crystal Reports runtime engine for .NET Framework (64-bit)";"PHXCAPS06.PHX.FNBM.CORP";"SAP";"20150430";"13.0.13.1597";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PHXCAPS06.PHX.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PHXCAPS06.PHX.FNBM.CORP";"Symantec Corporation";"20180121";"14.0.3876.1100";;;;"0"
"VMware Tools";"PHXCAPS06.PHX.FNBM.CORP";"VMware, Inc.";"20170503";"10.0.6.3560309";;;;
