"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"PHXCOLL05.PHX.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"CommVault Base Client (Instance001)";"PHXCOLL05.PHX.FNBM.CORP";"CommVault Systems";"20150304";"9.0.0";;;;
"CommVault Windows File System iDataAgent (Instance001)";"PHXCOLL05.PHX.FNBM.CORP";"CommVault Systems";"20150304";"9.0.0";;;;
"IBM WebSphere MQ (Installation1)";"PHXCOLL05.PHX.FNBM.CORP";"IBM";"20140307";"7.5.0.1";;;;
"Microsoft Silverlight";"PHXCOLL05.PHX.FNBM.CORP";"Microsoft Corporation";"20170420";"5.1.50906.0";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"PHXCOLL05.PHX.FNBM.CORP";"Microsoft Corporation";"20140807";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"PHXCOLL05.PHX.FNBM.CORP";"Microsoft Corporation";"20140312";"8.0.56336";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"PHXCOLL05.PHX.FNBM.CORP";"Microsoft Corporation";"20140807";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PHXCOLL05.PHX.FNBM.CORP";"Microsoft Corporation";"20140306";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"PHXCOLL05.PHX.FNBM.CORP";"Microsoft Corporation";"20140306";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"PHXCOLL05.PHX.FNBM.CORP";"Microsoft Corporation";"20140307";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"PHXCOLL05.PHX.FNBM.CORP";"Microsoft Corporation";"20160922";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"PHXCOLL05.PHX.FNBM.CORP";"Microsoft Corporation";"20170825";"10.0.30319";;;;
"Microsoft WSE 3.0";"PHXCOLL05.PHX.FNBM.CORP";"Microsoft Corporation";"20140312";"3.0.5305.0";;;;
"NCache";"PHXCOLL05.PHX.FNBM.CORP";"Alachisoft";"20170825";"4.6.0.0";;;;
"Oracle Data Provider for .NET Help";"PHXCOLL05.PHX.FNBM.CORP";"Oracle Corporation";"20140312";"10.2.020";;;;
"Quick3270";"PHXCOLL05.PHX.FNBM.CORP";"DN-Computing";;"";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PHXCOLL05.PHX.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PHXCOLL05.PHX.FNBM.CORP";"Symantec Corporation";"20180222";"14.0.3876.1100";;;;"0"
"VMware Tools";"PHXCOLL05.PHX.FNBM.CORP";"VMware, Inc.";"20141030";"9.0.10.29005";;;;
