"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Commvault ContentStore";"PHXDC03.PHX.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"Microsoft Network Monitor 3.4";"PHXDC03.PHX.FNBM.CORP";"Microsoft Corporation";"20180420";"3.4.2350.0";;;;
"Microsoft Network Monitor: NetworkMonitor Parsers 3.4";"PHXDC03.PHX.FNBM.CORP";"Microsoft Corporation";"20180420";"3.4.2350.0";;;;
"Microsoft Silverlight";"PHXDC03.PHX.FNBM.CORP";"Microsoft Corporation";"20170420";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"PHXDC03.PHX.FNBM.CORP";"Microsoft Corporation";"20151202";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PHXDC03.PHX.FNBM.CORP";"Microsoft Corporation";"20151130";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"PHXDC03.PHX.FNBM.CORP";"Microsoft Corporation";"20151130";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"PHXDC03.PHX.FNBM.CORP";"Microsoft Corporation";"20151201";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"PHXDC03.PHX.FNBM.CORP";"Microsoft Corporation";"20170223";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"PHXDC03.PHX.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"PHXDC03.PHX.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"PHXDC03.PHX.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"PHXDC03.PHX.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
"SolarWinds Agent 2.0.70.0";"PHXDC03.PHX.FNBM.CORP";"SolarWinds Worldwide, LLC.";"20180607";"2.0.70.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PHXDC03.PHX.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PHXDC03.PHX.FNBM.CORP";"Symantec Corporation";"20180121";"14.0.3876.1100";;;;"0"
"VMware Tools";"PHXDC03.PHX.FNBM.CORP";"VMware, Inc.";"20151130";"9.4.11.2400950";;;;
