"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Commvault ContentStore";"PHXFS01.PHX.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"HP Lights-Out Online Configuration Utility";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise";"20170825";"5.0.0.0";;;;
"HP Smart Array SAS/SATA Event Notification Service";"PHXFS01.PHX.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20170825";"6.46.0.64";;;;
"HP Smart Storage Administrator";"PHXFS01.PHX.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20151202";"2.30.6.0";;;;
"HPE ProLiant Agentless Management Service";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise Development LP";;"10.70.0.0";;;;
"HPE System Management Homepage";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170825";"7.6.1";;;;
"iLO 3/4 Channel Interface Driver";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise";;"3.30.0.0";;;;
"iLO 3/4 Management Controller Driver Package";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise";;"3.30.0.0";;;;
"Insight Diagnostics";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170825";"10.60.2116";;;;
"Integrated Management Log Viewer";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise";"20170825";"7.8.0.0";;;;
"Integrated Smart Update Tools for Windows";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise";"20170825";"2.0.0.0";;;;
"KeePass Password Safe 2.29";"PHXFS01.PHX.FNBM.CORP";"Dominik Reichl";"20160302";"2.29";;;;
"Matrox Graphics Software (remove only)";"PHXFS01.PHX.FNBM.CORP";"Matrox Graphics Inc.";;"4.3.3.3";;;;
"Microsoft Office Professional Plus 2010";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.0.7015.1000";;;;""
"Microsoft Silverlight";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20170420";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160215";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160218";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160121";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160121";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
"PFA Server Registry Update";"PHXFS01.PHX.FNBM.CORP";"Hewlett-Packard Company";"20170825";"1.0.0.0";;;;
"Smart Storage Administrator";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170825";"3.10.3.0";;;;
"Smart Storage Administrator CLI";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170825";"3.10.3.0";;;;
"Smart Storage Administrator Diagnostics and SSD Wear Gauge Utility";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170825";"3.10.3.0";;;;
"SolarWinds Agent 2.0.70.0";"PHXFS01.PHX.FNBM.CORP";"SolarWinds Worldwide, LLC.";"20180604";"2.0.70.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PHXFS01.PHX.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PHXFS01.PHX.FNBM.CORP";"Symantec Corporation";"20180121";"14.0.3876.1100";;;;"0"
"Veritas InfoScale Operations Manager (Host Component)";"PHXFS01.PHX.FNBM.CORP";"Veritas Technologies LLC";;"7.3.1.400";;;;"0"
"Veritas Storage Foundation 6.1 for Windows ";"PHXFS01.PHX.FNBM.CORP";"Symantec Corporation";"11.10.2005.11.10 10:33:24 PST";"6.1";;;;
"VMware vCenter Converter Standalone";"PHXFS01.PHX.FNBM.CORP";"VMware, Inc.";"20170825";"6.1.1.3533064";;;;
