"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.800.90";;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"4.5.51209";;;;
"Microsoft Help Viewer 2.2";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft ODBC Driver 13 for SQL Server";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.800.90";;;;
"Microsoft Report Viewer 2012 Runtime";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170614";"11.1.3452.0";;;;
"Microsoft Silverlight";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170621";"5.1.50907.0";;;;
"Microsoft SQL Server 2012 Native Client ";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"11.3.6540.0";;;;
"Microsoft SQL Server 2014 Management Objects ";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"12.0.2000.8";;;;
"Microsoft SQL Server 2017 Policies RC1";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.800.90";;;;
"Microsoft SQL Server 2017 RC1";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2017 T-SQL Language Service RC1";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.17177.0";;;;
"Microsoft SQL Server Data-Tier Application Framework (x86)";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.3757.2";;;;
"Microsoft SQL Server Management Studio - 17.2";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.0.17177.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170614";"11.0.2100.60";;;;
"Microsoft System CLR Types for SQL Server 2014";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"12.0.2402.11";;;;
"Microsoft System CLR Types for SQL Server 2017 RC1";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.800.90";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170523";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170523";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170620";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23026";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.0.23026.0";;;;
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23026";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.0.23026.0";;;;
"Microsoft Visual Studio 2015 Shell (Isolated)";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.0.23107.10";;;;
"Microsoft Visual Studio Tools for Applications 2015";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.0.23829";;;;
"Microsoft Visual Studio Tools for Applications 2015 Language Support";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.0.23107.20";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PHXINFRA01.PHX.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PHXINFRA01.PHX.FNBM.CORP";"Symantec Corporation";"20180121";"14.0.3876.1100";;;;"0"
"VMware Tools";"PHXINFRA01.PHX.FNBM.CORP";"VMware, Inc.";"20171208";"10.0.9.3917699";;;;
