"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"IBM WebSphere MQ 64bitSupport";"PHXPROCESS01.PHX.FNBM.CORP";"IBM";"20180212";"8.0";;;;
"Microsoft Silverlight";"PHXPROCESS01.PHX.FNBM.CORP";"Microsoft Corporation";"20170420";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PHXPROCESS01.PHX.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"PHXPROCESS01.PHX.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"PHXPROCESS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160216";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"PHXPROCESS01.PHX.FNBM.CORP";"Microsoft Corporation";"20170119";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"PHXPROCESS01.PHX.FNBM.CORP";"Microsoft Corporation";"20180212";"10.0.30319";;;;
"NCache";"PHXPROCESS01.PHX.FNBM.CORP";"Alachisoft";"20180212";"4.6.0.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PHXPROCESS01.PHX.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PHXPROCESS01.PHX.FNBM.CORP";"Symantec Corporation";"20180222";"14.0.3876.1100";;;;"0"
"VMware Tools";"PHXPROCESS01.PHX.FNBM.CORP";"VMware, Inc.";"20160321";"9.0.12.35149";;;;
