"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Google Chrome";"PHXVCS01.PHX.FNBM.CORP";"Google Inc.";"20180302";"68.0.3440.84";;;;
"Microsoft Silverlight";"PHXVCS01.PHX.FNBM.CORP";"Microsoft Corporation";"20170420";"5.1.50906.0";;;;
"Microsoft SQL Server 2012 Native Client ";"PHXVCS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160720";"11.0.2100.60";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"PHXVCS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160721";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PHXVCS01.PHX.FNBM.CORP";"Microsoft Corporation";"20151201";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"PHXVCS01.PHX.FNBM.CORP";"Microsoft Corporation";"20151201";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"PHXVCS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160720";"9.0.30729.6161";;;;
"Microsoft Visual J# 2.0 Redistributable Package - SE (x64)";"PHXVCS01.PHX.FNBM.CORP";"Microsoft Corporation";;;;;;
"Mozilla Firefox 56.0 (x86 en-US)";"PHXVCS01.PHX.FNBM.CORP";"Mozilla";;"56.0";;;;
"Mozilla Maintenance Service";"PHXVCS01.PHX.FNBM.CORP";"Mozilla";;"56.0.0.6478";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PHXVCS01.PHX.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PHXVCS01.PHX.FNBM.CORP";"Symantec Corporation";"20180201";"14.0.3876.1100";;;;"0"
"vCenter Server with an embedded Platform Services Controller";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"7/20/2016";"6.0.0.18915";;;;
"VMware OVF Tool";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20180305";"4.2.0";;;;
"VMware Tools";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20151201";"9.4.11.2400950";;;;
"VMware vSphere Client 6.0";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160721";"6.0.0.6826";;;;
"VMware vSphere Update Manager";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160721";"6.0.0.29963";;;;
"VMware vSphere Update Manager Client 6.0 Update 2";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160721";"6.0.0.29963";;;;
