"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"PSTEST02.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Google Chrome";"PSTEST02.FNBM.CORP";"Google Inc.";"20180227";"68.0.3440.84";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"PSTEST02.FNBM.CORP";;;;;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"PSTEST02.FNBM.CORP";"Microsoft Corporation";"20180227";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PSTEST02.FNBM.CORP";"Microsoft Corporation";"20170307";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"PSTEST02.FNBM.CORP";"Microsoft Corporation";"20170307";"9.0.30729.4148";;;;
"Microsoft Visual J# 2.0 Redistributable Package - SE (x64)";"PSTEST02.FNBM.CORP";"Microsoft Corporation";;;;;;
"OpenSSL 1.0.1c (32-bit)";"PSTEST02.FNBM.CORP";"OpenSSL Win32 Installer Team";"20170629";;;;;
"PowerSNMP Free Manager";"PSTEST02.FNBM.CORP";"Dart Communications";"20180119";"2.0.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PSTEST02.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PSTEST02.FNBM.CORP";"Symantec Corporation";"20180215";"14.0.3876.1100";;;;"0"
"VMware Tools";"PSTEST02.FNBM.CORP";"VMware, Inc.";"20171208";"10.1.7.5541682";;;;
"VMware vSphere Client 6.0";"PSTEST02.FNBM.CORP";"VMware, Inc.";"20180227";"6.0.0.5505";;;;
