"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft .NET Framework 1.1 Security Update (KB2698023)";"LASCHAT02.FNBM.CORP";;;;;;"Microsoft .NET Framework 1.1  (1033)";
"Microsoft .NET Framework 1.1 Security Update (KB2833941)";"LASCHAT02.FNBM.CORP";;;;;;"Microsoft .NET Framework 1.1  (1033)";
"Hotfix for Microsoft .NET Framework 3.5 SP1 (KB953595)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Hotfix";"Microsoft .NET Framework 3.5 SP1";
"Hotfix for Microsoft .NET Framework 3.5 SP1 (KB958484)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Hotfix";"Microsoft .NET Framework 3.5 SP1";
"Security Update for Microsoft .NET Framework 3.5 SP1 (KB2604111)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 3.5 SP1";
"Security Update for Microsoft .NET Framework 3.5 SP1 (KB2736416)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 3.5 SP1";
"Security Update for Microsoft .NET Framework 3.5 SP1 (KB2840629)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 3.5 SP1";
"Security Update for Microsoft .NET Framework 3.5 SP1 (KB2861697)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 3.5 SP1";
"Update for Microsoft .NET Framework 3.5 SP1 (KB963707)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Update";"Microsoft .NET Framework 3.5 SP1";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3023224)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3035490)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3037581)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3048077)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3072310)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3074230)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3074550)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3097996)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3098781)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3099869)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3122656)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3127229)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3135996)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3135996v2)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"2";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3163251)";"LASCHAT02.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
