"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Hotfix for Microsoft .NET Framework 3.5 SP1 (KB953595)";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Hotfix";"Microsoft .NET Framework 3.5 SP1";
"Hotfix for Microsoft .NET Framework 3.5 SP1 (KB958484)";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Hotfix";"Microsoft .NET Framework 3.5 SP1";
"Security Update for Microsoft .NET Framework 3.5 SP1 (KB2604111)";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 3.5 SP1";
"Security Update for Microsoft .NET Framework 3.5 SP1 (KB2736416)";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 3.5 SP1";
"Security Update for Microsoft .NET Framework 3.5 SP1 (KB2840629)";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 3.5 SP1";
"Security Update for Microsoft .NET Framework 3.5 SP1 (KB2861697)";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 3.5 SP1";
"Update for Microsoft .NET Framework 3.5 SP1 (KB963707)";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Update";"Microsoft .NET Framework 3.5 SP1";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3023224)";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3035490)";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3037581)";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3048077)";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
