"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Reliability Update for Microsoft .NET Framework 4.5.2 (KB3179930)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Reliability Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3023224)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3035490)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3037581)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3074230)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3074550)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3097996)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3098781)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3122656)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3127229)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3135996)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3163251)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB4014566)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB4014599)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB4040960)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB4054172)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Update for Microsoft .NET Framework 4.5.2 (KB4014514)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Update";"Microsoft .NET Framework 4.5.2";
"Update for Microsoft .NET Framework 4.5.2 (KB4014559)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Update";"Microsoft .NET Framework 4.5.2";
"Update for Microsoft .NET Framework 4.5.2 (KB4040977)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Update";"Microsoft .NET Framework 4.5.2";
"Update for Microsoft .NET Framework 4.5.2 (KB4096495)";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Update";"Microsoft .NET Framework 4.5.2";
