"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"EDC 3.00 FP2";"LASRFAX01.CREDITONEAPP.BIZ";"Captaris, Inc.";"20110729";;;;"Captaris Integration Product Suite";
"Reliability Update for Microsoft .NET Framework 4.5.2 (KB3179930)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Reliability Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3023224)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3035490)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3037581)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3074230)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3074550)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3097996)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3098781)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3122656)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3127229)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3135996)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3142033)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3163251)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Update for Microsoft .NET Framework 4.5.2 (KB4096495)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"1";;"Update";"Microsoft .NET Framework 4.5.2";
"RightFax 9.4 FP1 Service Release 4";"LASRFAX01.CREDITONEAPP.BIZ";"Captaris, Inc.";"20110729";;;;"RightFax Product Suite";
"RightFax 9.40 Feature Pack 1";"LASRFAX01.CREDITONEAPP.BIZ";"Captaris, Inc.";"20110729";;;;"RightFax Product Suite";
