"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Security Update for Microsoft .NET Framework 4.5.2 (KB3023224)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3035490)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3037581)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3074230)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB3074550)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB4014566)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB4014599)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB4040960)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB4054172)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Security Update for Microsoft .NET Framework 4.5.2 (KB4095519)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4.5.2";
"Update for Microsoft .NET Framework 4.5.2 (KB4014514)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Update";"Microsoft .NET Framework 4.5.2";
"Update for Microsoft .NET Framework 4.5.2 (KB4040977)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Update";"Microsoft .NET Framework 4.5.2";
"Update for Microsoft .NET Framework 4.5.2 (KB4054995)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Update";"Microsoft .NET Framework 4.5.2";
"Update for Microsoft .NET Framework 4.5.2 (KB4096495)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Update";"Microsoft .NET Framework 4.5.2";
"Update for Microsoft .NET Framework 4.5.2 (KB4338417)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Update";"Microsoft .NET Framework 4.5.2";
"Hotfix for Microsoft SharePoint Foundation 2010 (KB2536601)";"LASSFSUPG01.FNBM.CORP";"Microsoft";;;"0";;"Microsoft SharePoint Foundation 2010";
"Hotfix for Microsoft SharePoint Foundation 2010 (KB2536601)";"LASSFSUPG01.FNBM.CORP";"Microsoft";;;"0";;"Microsoft SharePoint Foundation 2010";
"Microsoft SharePoint Foundation 2010 Service Pack 1 (SP1)";"LASSFSUPG01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Foundation 2010";
"Service Pack 3 for SQL Server 2008 R2 (KB2979597) (64-bit)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";"20150922";"10.53.6000.34";;"ServicePack";"Microsoft SQL Server 2008 R2 (64-bit)";
"Hotfix for Microsoft Visual Studio 2007 Tools for Applications - ENU (KB946040)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Hotfix";"Microsoft Visual Studio 2007 Tools for Applications - ENU";
"Hotfix for Microsoft Visual Studio 2007 Tools for Applications - ENU (KB946308)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Hotfix";"Microsoft Visual Studio 2007 Tools for Applications - ENU";
"Hotfix for Microsoft Visual Studio 2007 Tools for Applications - ENU (KB946344)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Hotfix";"Microsoft Visual Studio 2007 Tools for Applications - ENU";
"Hotfix for Microsoft Visual Studio 2007 Tools for Applications - ENU (KB947540)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Hotfix";"Microsoft Visual Studio 2007 Tools for Applications - ENU";
"Hotfix for Microsoft Visual Studio 2007 Tools for Applications - ENU (KB947789)";"LASSFSUPG01.FNBM.CORP";"Microsoft Corporation";;"1";;"Hotfix";"Microsoft Visual Studio 2007 Tools for Applications - ENU";
