"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Security Update for Microsoft .NET Framework 4 Client Profile (KB2604121)";"LASTLSTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4 Client Profile";
"Security Update for Microsoft .NET Framework 4 Client Profile (KB2656351)";"LASTLSTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4 Client Profile";
"Security Update for Microsoft .NET Framework 4 Client Profile (KB2729449)";"LASTLSTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4 Client Profile";
"Security Update for Microsoft .NET Framework 4 Client Profile (KB2736428)";"LASTLSTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4 Client Profile";
"Security Update for Microsoft .NET Framework 4 Client Profile (KB2737019)";"LASTLSTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4 Client Profile";
"Security Update for Microsoft .NET Framework 4 Client Profile (KB2742595)";"LASTLSTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4 Client Profile";
"Security Update for Microsoft .NET Framework 4 Client Profile (KB2789642)";"LASTLSTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4 Client Profile";
"Security Update for Microsoft .NET Framework 4 Client Profile (KB2840628v2)";"LASTLSTST01.FNBM.CORP";"Microsoft Corporation";;"2";;"Security Update";"Microsoft .NET Framework 4 Client Profile";
"Security Update for Microsoft .NET Framework 4 Client Profile (KB2858302v2)";"LASTLSTST01.FNBM.CORP";"Microsoft Corporation";;"2";;"Security Update";"Microsoft .NET Framework 4 Client Profile";
"Security Update for Microsoft .NET Framework 4 Client Profile (KB2894842v2)";"LASTLSTST01.FNBM.CORP";"Microsoft Corporation";;"2";;"Security Update";"Microsoft .NET Framework 4 Client Profile";
"Security Update for Microsoft .NET Framework 4 Client Profile (KB2972106)";"LASTLSTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4 Client Profile";
"Security Update for Microsoft .NET Framework 4 Client Profile (KB2972215)";"LASTLSTST01.FNBM.CORP";"Microsoft Corporation";;"1";;"Security Update";"Microsoft .NET Framework 4 Client Profile";
