"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Definition Update for Microsoft Office 2010 (KB3115475) 64-Bit Edition";"PHXFS01.PHX.FNBM.CORP";"Microsoft";;;"0";;"Microsoft Office Professional Plus 2010";
"Security Update for Microsoft Access 2010 (KB3101544) 64-Bit Edition";"PHXFS01.PHX.FNBM.CORP";"Microsoft";;;"0";;"Microsoft Office Professional Plus 2010";
"Security Update for Microsoft Access 2010 (KB3101544) 64-Bit Edition";"PHXFS01.PHX.FNBM.CORP";"Microsoft";;;"0";;"Microsoft Office Professional Plus 2010";
"Security Update for Microsoft Excel 2010 (KB4011061) 64-Bit Edition";"PHXFS01.PHX.FNBM.CORP";"Microsoft";;;"0";;"Microsoft Office Professional Plus 2010";
"Security Update for Microsoft Excel 2010 (KB4011061) 64-Bit Edition";"PHXFS01.PHX.FNBM.CORP";"Microsoft";;;"0";;"Microsoft Office Professional Plus 2010";
"Security Update for Microsoft InfoPath 2010 (KB3114414) 64-Bit Edition";"PHXFS01.PHX.FNBM.CORP";"Microsoft";;;"0";;"Microsoft Office Professional Plus 2010";
"Security Update for Microsoft InfoPath 2010 (KB3114414) 64-Bit Edition";"PHXFS01.PHX.FNBM.CORP";"Microsoft";;;"0";;"Microsoft Office Professional Plus 2010";
"Security Update for Microsoft Office 2010 (KB2553313) 64-Bit Edition";"PHXFS01.PHX.FNBM.CORP";"Microsoft";;;"0";;"Microsoft Office Professional Plus 2010";
"Security Update for Microsoft Office 2010 (KB2553313) 64-Bit Edition";"PHXFS01.PHX.FNBM.CORP";"Microsoft";;;"0";;"Microsoft Office Professional Plus 2010";
"Security Update for Microsoft Office 2010 (KB2553338) 64-Bit Edition";"PHXFS01.PHX.FNBM.CORP";"Microsoft";;;"0";;"Microsoft Office Professional Plus 2010";
