#TYPE System.Management.Automation.PSCustomObject
"ServerName","Name","MailboxCount"
"LASEXDB01","System Databases","29"
"LASEXDB01","Executive","13"
"LASEXDB01","Standard-01","0"
"LASEXDB01","Standard-02","0"
"LASEXDB02","Standard-03","1"
"LASEXDB01","Standard-05","1"
"LASEXDB01","Large-01","1"
"LASEXDB01","Large-02","0"
"LASEXDB01","Large-03","0"
"LASEXDB01","Large-04","0"
"LASEXDB01","Standard-04","1"
"LASEXDB01","Group-01","0"
"LASEXDB01","Legal","0"
"LASEXCH01","LASEXCH01DB01","1"
"LASEXCH03","LASEXCH03DB01","1"
"LASEXCH02","LASEXCH02DB01","0"
"LASEXCH01","Executive-01-16","7"
"LASEXCH02","Standard-01-16","79"
"LASEXCH01","Standard-02-16","79"
"LASEXCH02","Standard-03-16","80"
"LASEXCH01","Large-01-16","20"
"LASEXCH01","Standard-04-16","79"
"LASEXCH02","Standard-05-16","76"
"LASEXCH02","Large-02-16","23"
"LASEXCH01","Large-03-16","27"
"LASEXCH02","Large-04-16","28"
"LASEXCH02","Standard-06-16","71"
"LASEXCH01","Standard-07-16","69"
"LASEXCH03","Standard-08-16","110"
"LASEXCH03","Legal-01-16","2"
"LASEXCH03","Group-01-16","21"
"LASEXCH03","Executive-02-16","8"
"LASEXCH03","TESTDB","0"
"LASEXDB02","LASEXDB02-PFDB","1"
"LASEXDB01","LASEXDB01-PFDB","1"
"LASEXCH03","Disabled-01-16","98"
"LASEXCH02","Rooms-01-16","1"
"LASEXCH03","Rooms-02-16","2"
"LASEXCH01","Resource-01-16","66"
"LASEXCH02","Standard-Onboard","59"
"LASEXCH03","Large-Onboard","0"
"LASEXCH02","Resource-02-16","32"
"LASEXCH04","Mailbox Database 0514477962","0"
"LASEXCH04","Standard-09-16","52"
"LASEXCH04","Executive-03-16","0"
"LASEXCH04","Standard-11-16","0"
"LASEXCH04","Large-05-16","0"
"LASEXCH04","Standard-10-16","0"
"LASEXCH04","Large-06-16","0"
