#TYPE System.Management.Automation.PSCustomObject
"Name","EdbFilePath","LogFolderPath","CircularLoggingEnabled"
"System Databases","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\System Databases\System Databases.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\System Databases","False"
"Executive","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Executive\Executive.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Executive","False"
"Standard-01","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Standard-01\Standard-01.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Standard-01","False"
"Standard-02","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Standard-02\Standard-02.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Standard-02","False"
"Standard-03","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Standard-03\Standard-03.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Standard-03","False"
"Standard-05","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Standard-05\Standard-05.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Standard-05","False"
"Large-01","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Large-01\Large-01.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Large-01","False"
"Large-02","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Large-02\Large-02.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Large-02","False"
"Large-03","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Large-03\Large-03.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Large-03","False"
"Large-04","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Large-04\Large-04.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Large-04","False"
"Standard-04","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Standard-04\Standard-04.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Standard-04","False"
"Group-01","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Group-01\Group-01.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Group-01","False"
"Legal","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Legal\Legal.edb","D:\Program Files\Microsoft\Exchange Server\V14\Mailbox\Legal","False"
"LASEXCH01DB01","D:\ExchangeDatabases\LASEXCH01DB01\LASEXCH01DB01.edb","E:\ExchangeLogs\LASEXCH01DB01","False"
"LASEXCH03DB01","D:\ExchangeDatabases\LASEXCH03DB01\LASEXCH03DB01.edb","E:\ExchangeLogs\LASEXCH03DB01","False"
"LASEXCH02DB01","D:\ExchangeDatabases\LASEXCH02DB01\LASEXCH02DB01.edb","E:\ExchangeLogs\LASEXCH02DB01","False"
"Executive-01-16","D:\ExchangeDatabases\Executive-01-16\Executive-01-16.edb","E:\ExchangeLogs\Executive-01-16","False"
"Standard-01-16","D:\ExchangeDatabases\Standard-01-16\Standard-01-16.edb","E:\ExchangeLogs\Standard-01-16","False"
"Standard-02-16","D:\ExchangeDatabases\Standard-02-16\Standard-02-16.edb","E:\ExchangeLogs\Standard-02-16","False"
