#TYPE System.Management.Automation.PSCustomObject
"Property","Default"
"",""
"ActionForUnknownFileAndMIMETypes:ForceSave",""
"ActiveSyncIntegrationEnabled","True"
"AllAddressListsEnabled","True"
"CalendarEnabled","True"
"ChangePasswordEnabled","True"
"ContactsEnabled","True"
"DefaultClientLanguage","0"
"DefaultTheme",""
"DelegateAccessEnabled","True"
"DirectFileAccessOnPrivateComputersEnabled","False"
"DirectFileAccessOnPublicComputersEnabled","False"
"ExplicitLogonEnabled","True"
"ForceSaveAttachmentFilteringEnabled","False"
"ForceWebReadyDocumentViewingFirstOnPrivateComputers","False"
"ForceWebReadyDocumentViewingFirstOnPublicComputers","False"
"GlobalAddressListEnabled","True"
"InstantMessagingEnabled","True"
"InstantMessagingType","None"
"IRMEnabled","True"
"JournalEnabled","True"
"JunkEmailEnabled","True"
"LogonAndErrorLanguage","0"
"Name","Default"
"NotesEnabled","True"
"OrganizationEnabled","True"
"OutboundCharset","AutoDetect"
"OWALightEnabled","True"
"OWAMiniEnabled",""
"PhoneticSupportEnabled","False"
"PremiumClientEnabled","True"
"PublicFoldersEnabled","True"
"RecoverDeletedItemsEnabled","True"
"RemindersAndNotificationsEnabled","True"
"RulesEnabled","True"
"SearchFoldersEnabled","True"
"SignaturesEnabled","True"
"SilverlightEnabled","True"
"SMimeEnabled","True"
"SpellCheckerEnabled","True"
"TasksEnabled","True"
"TextMessagingEnabled","True"
"ThemeSelectionEnabled","True"
"UMIntegrationEnabled","True"
"UNCAccessOnPrivateComputersEnabled","True"
"UNCAccessOnPublicComputersEnabled","True"
"UseGB18030","False"
"UseISO885915","False"
"WebReadyDocumentViewingForAllSupportedTypes","True"
"WebReadyDocumentViewingOnPrivateComputersEnabled","False"
"WebReadyDocumentViewingOnPublicComputersEnabled","False"
"WSSAccessOnPrivateComputersEnabled","True"
"WSSAccessOnPublicComputersEnabled","True"
