#TYPE System.Management.Automation.PSCustomObject
"Server","Deviceid","Currentclockspeed","Description","Manufacturer","NumberOfCores","NumberOfLogicalProcessors"
"LASEXCAS01","CPU0","3000","Intel64 Family 6 Model 15 Stepping 6","GenuineIntel","2","2"
"LASEXCAS01","CPU1","3000","Intel64 Family 6 Model 15 Stepping 6","GenuineIntel","2","2"
"LASEXCAS02","CPU0","3000","Intel64 Family 6 Model 15 Stepping 6","GenuineIntel","2","2"
"LASEXCAS02","CPU1","3000","Intel64 Family 6 Model 15 Stepping 6","GenuineIntel","2","2"
"LASEXDB01","CPU0","2600","AMD64 Family 16 Model 4 Stepping 2","AuthenticAMD","4","4"
"LASEXDB01","CPU1","2600","AMD64 Family 16 Model 4 Stepping 2","AuthenticAMD","4","4"
"LASEXDB02","CPU0","2600","AMD64 Family 16 Model 4 Stepping 2","AuthenticAMD","4","4"
"LASEXDB02","CPU1","2600","AMD64 Family 16 Model 4 Stepping 2","AuthenticAMD","4","4"
"LASEXCH01","CPU0","2600","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH01","CPU1","2600","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH01","CPU2","2600","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH01","CPU3","2600","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH03","CPU0","2600","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH03","CPU1","2600","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH03","CPU2","2600","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH03","CPU3","2600","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH02","CPU0","2597","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH02","CPU1","2597","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH02","CPU2","2597","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH02","CPU3","2597","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH04","CPU0","2597","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH04","CPU1","2597","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH04","CPU2","2597","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
"LASEXCH04","CPU3","2597","Intel64 Family 6 Model 45 Stepping 2","GenuineIntel","2","2"
