#TYPE System.Management.Automation.PSCustomObject
"Name","ProhibitSendReceiveQuota","ProhibitSendQuota","IssueWarningQuota"
"System Databases","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"Executive","Unlimited","10.74 GB (11,534,336,000 bytes)","9.766 GB (10,485,760,000 bytes)"
"Standard-01","Unlimited","1.953 GB (2,097,152,000 bytes)","1.66 GB (1,782,579,200 bytes)"
"Standard-02","Unlimited","1.953 GB (2,097,152,000 bytes)","1.66 GB (1,782,579,200 bytes)"
"Standard-03","Unlimited","1.953 GB (2,097,152,000 bytes)","1.66 GB (1,782,579,200 bytes)"
"Standard-05","Unlimited","1.953 GB (2,097,152,000 bytes)","1.66 GB (1,782,579,200 bytes)"
"Large-01","Unlimited","2.93 GB (3,145,728,000 bytes)","2.441 GB (2,621,440,000 bytes)"
"Large-02","Unlimited","2.93 GB (3,145,728,000 bytes)","2.441 GB (2,621,440,000 bytes)"
"Large-03","Unlimited","2.93 GB (3,145,728,000 bytes)","2.441 GB (2,621,440,000 bytes)"
"Large-04","Unlimited","2.93 GB (3,145,728,000 bytes)","2.441 GB (2,621,440,000 bytes)"
"Standard-04","Unlimited","1.953 GB (2,097,152,000 bytes)","1.66 GB (1,782,579,200 bytes)"
"Group-01","2.93 GB (3,145,728,000 bytes)","2.93 GB (3,145,728,000 bytes)","2.441 GB (2,621,440,000 bytes)"
"Legal","Unlimited","6.836 GB (7,340,032,000 bytes)","6.348 GB (6,815,744,000 bytes)"
"LASEXCH01DB01","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"LASEXCH03DB01","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"LASEXCH02DB01","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"Executive-01-16","Unlimited","15 GB (16,106,127,360 bytes)","12 GB (12,884,901,888 bytes)"
"Standard-01-16","Unlimited","3 GB (3,221,225,472 bytes)","2.5 GB (2,684,354,560 bytes)"
"Standard-02-16","Unlimited","3 GB (3,221,225,472 bytes)","2.5 GB (2,684,354,560 bytes)"
"Standard-03-16","Unlimited","3 GB (3,221,225,472 bytes)","2.5 GB (2,684,354,560 bytes)"
"Large-01-16","Unlimited","5 GB (5,368,709,120 bytes)","4.5 GB (4,831,838,208 bytes)"
"Standard-04-16","Unlimited","3 GB (3,221,225,472 bytes)","2.5 GB (2,684,354,560 bytes)"
"Standard-05-16","Unlimited","3 GB (3,221,225,472 bytes)","2.5 GB (2,684,354,560 bytes)"
"Large-02-16","Unlimited","5 GB (5,368,709,120 bytes)","4.5 GB (4,831,838,208 bytes)"
"Large-03-16","Unlimited","5 GB (5,368,709,120 bytes)","4.5 GB (4,831,838,208 bytes)"
"Large-04-16","Unlimited","5 GB (5,368,709,120 bytes)","4.5 GB (4,831,838,208 bytes)"
"Standard-06-16","Unlimited","3 GB (3,221,225,472 bytes)","2.5 GB (2,684,354,560 bytes)"
"Standard-07-16","Unlimited","3 GB (3,221,225,472 bytes)","2.5 GB (2,684,354,560 bytes)"
"Standard-08-16","Unlimited","3 GB (3,221,225,472 bytes)","2.5 GB (2,684,354,560 bytes)"
"Legal-01-16","3.5 GB (3,758,096,384 bytes)","3 GB (3,221,225,472 bytes)","2.9 GB (3,113,851,904 bytes)"
"Group-01-16","Unlimited","3 GB (3,221,225,472 bytes)","2.5 GB (2,684,354,560 bytes)"
"Executive-02-16","Unlimited","15 GB (16,106,127,360 bytes)","12 GB (12,884,901,888 bytes)"
"TESTDB","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"LASEXDB02-PFDB","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"LASEXDB01-PFDB","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"Disabled-01-16","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"Rooms-01-16","3.5 GB (3,758,096,384 bytes)","3 GB (3,221,225,472 bytes)","2.9 GB (3,113,851,904 bytes)"
"Rooms-02-16","3.5 GB (3,758,096,384 bytes)","3 GB (3,221,225,472 bytes)","2.9 GB (3,113,851,904 bytes)"
"Resource-01-16","Unlimited","4 GB (4,294,967,296 bytes)","3.9 GB (4,187,593,728 bytes)"
"Standard-Onboard","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"Large-Onboard","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"Resource-02-16","Unlimited","3 GB (3,221,225,472 bytes)","2.9 GB (3,113,851,904 bytes)"
"Mailbox Database 0514477962","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"Standard-09-16","4 GB (4,294,967,296 bytes)","3 GB (3,221,225,472 bytes)","1.9 GB (2,040,110,080 bytes)"
"Executive-03-16","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"Standard-11-16","Unlimited","4 GB (4,294,967,296 bytes)","3 GB (3,221,225,472 bytes)"
"Large-05-16","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"Standard-10-16","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
"Large-06-16","2.3 GB (2,469,396,480 bytes)","2 GB (2,147,483,648 bytes)","1.899 GB (2,039,480,320 bytes)"
