#TYPE System.Management.Automation.PSCustomObject
"MessageClassDisplayName","MessageClass","RetentionEnabled","RetentionAction","AgeLimitForRetention","MoveToDestinationFolder","TriggerForRetention","Type","Identity"
"All Mailbox Content","*","True","MoveToArchive","365.00:00:00",,"WhenDelivered","Personal","Personal 1 year move to archive"
"All Mailbox Content","*","True","MoveToArchive","730.00:00:00",,"WhenDelivered","All","Default 2 year move to archive"
"All Mailbox Content","*","True","MoveToArchive","1825.00:00:00",,"WhenDelivered","Personal","Personal 5 year move to archive"
"All Mailbox Content","*","False","MoveToArchive",,,"WhenDelivered","Personal","Personal never move to archive"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","7.00:00:00",,"WhenDelivered","Personal","1 Week Delete"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","30.00:00:00",,"WhenDelivered","Personal","1 Month Delete"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","180.00:00:00",,"WhenDelivered","Personal","6 Month Delete"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","365.00:00:00",,"WhenDelivered","Personal","1 Year Delete"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","1825.00:00:00",,"WhenDelivered","Personal","5 Year Delete"
"All Mailbox Content","*","False","DeleteAndAllowRecovery",,,"WhenDelivered","Personal","Never Delete"
"All Mailbox Content","*","True","MoveToArchive","14.00:00:00",,"WhenDelivered","RecoverableItems","Recoverable Items 14 days move to archive"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","90.00:00:00",,"WhenDelivered","SentItems","Standard - Sent Items - Delete Immediately - 90 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","7.00:00:00",,"WhenDelivered","DeletedItems","Standard - Deleted Items - Delete Immediately - 7 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","30.00:00:00",,"WhenDelivered","DeletedItems","Large - Deleted Items - Delete Immediately - 30 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","90.00:00:00",,"WhenDelivered","SentItems","Large - Sent Items - Delete Immediately - 90 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","90.00:00:00",,"WhenDelivered","SentItems","Executive - Sent Items - Delete Immediately - 90 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","90.00:00:00",,"WhenDelivered","DeletedItems","Executive - Deleted Items - Delete Immediately - 90 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","365.00:00:00",,"WhenDelivered","Calendar","Standard - Calendar - Delete Immediately - 365 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","365.00:00:00",,"WhenDelivered","Calendar","Large - Calendar - Delete Immediately - 365 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","365.00:00:00",,"WhenDelivered","Calendar","Executive - Calendar - Delete Immediately - 365 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","7.00:00:00",,"WhenDelivered","DeletedItems","Group - Deleted Items - Delete Immediately - 7 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","90.00:00:00",,"WhenDelivered","SentItems","Group - Sent Items - Delete Immediately - 90 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","365.00:00:00",,"WhenDelivered","Personal","Legal - Calendar - Delete Immediately - 365 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","90.00:00:00",,"WhenDelivered","Personal","Legal - Calendar - Delete Immediately - 90 days"
"All Mailbox Content","*","True","DeleteAndAllowRecovery","90.00:00:00",,"WhenDelivered","Personal","Legal - Sent Items - Delete Immediately - 90 days"
