[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_Content_Portal], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_Content_Portal], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Applications], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Applications], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Depts_KCA], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Depts_KCA], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_BusinessDevelopment], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_BusinessDevelopment], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_CorporateFinance], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_CorporateFinance], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_HR], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_HR], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_IT], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_IT], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_StrategicPlanning], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_StrategicPlanning], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_ThePulse], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Pulse_ThePulse], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Teams1], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Teams1], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Teams2], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Teams2], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Teams3], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Teams3], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
[MissingAssembly] Assembly [Infowise.SmartActionPro.2010, Version=1.0.0.0, Culture=neutral, PublicKeyToken=23853b1f8d5855a5] is referenced in the database [SP2013_UAT_KSC_Intranet_Teams], but is not installed on the current farm. Please install any feature/solution which contains this assembly. One or more assemblies are referenced in the database [SP2013_UAT_KSC_Intranet_Teams], but are not installed on the current farm. Please install any feature or solution which contains these assemblies.
