"ServerName","ApplicationName","Version","UninstallString"
"FBV-TECHTR-P01","Microsoft Windows Desktop Runtime - 6.0.36 (x64)","48.144.23186","MsiExec.exe /X{61D4736B-3325-4D4A-BD41-8BD206C6A86E}"
"FBV-TECHTR-P01","Microsoft .NET Runtime - 6.0.36 (x64)","48.144.23141","MsiExec.exe /X{C912E33F-956A-4921-9F55-CC11AE8F09AF}"
"FBV-TECHTR-P01","Microsoft ASP.NET Core 6.0.36 Hosting Bundle Options","6.0.36.24516","MsiExec.exe /I{040F8B83-B3BA-303A-A5BC-FE3E7FC0093B}"
"FBV-TECHTR-P01","Microsoft Windows Desktop Runtime - 6.0.36 (x64)","6.0.36.34217","""C:\ProgramData\Package Cache\{0532b8f2-12d7-43de-95fc-7b87006758a8}\windowsdesktop-runtime-6.0.36-win-x64.exe""  /uninstall"
"FBV-TECHTR-P01","Microsoft ASP.NET Core 6.0.36 Shared Framework (x86)","6.0.36.24516","MsiExec.exe /X{5FEC97CA-FD93-392D-BF36-D9C3492A5698}"
"FBV-TECHTR-P01","Microsoft .NET Host FX Resolver - 6.0.36 (x86)","48.144.23141","MsiExec.exe /X{6F73FE7B-B9C3-4A05-8138-0E44543D755F}"
"FBV-TECHTR-P01","Microsoft .NET Runtime - 6.0.36 (x86)","48.144.23141","MsiExec.exe /X{89C09E22-01D0-41F6-BAD3-CA0A8B74AD22}"
"FBV-TECHTR-P01","Microsoft .NET Runtime - 6.0.36 (x86)","6.0.36.34214","""C:\ProgramData\Package Cache\{8c97cb9f-5366-4851-942a-4da7d5980ee8}\dotnet-runtime-6.0.36-win-x86.exe""  /uninstall"
"FBV-TECHTR-P01","Microsoft Windows Desktop Runtime - 6.0.36 (x86)","48.144.23186","MsiExec.exe /X{9A00C541-6944-4969-9DFE-A7289215800D}"
"FBV-TECHTR-P01","Microsoft .NET Runtime - 6.0.36 (x64)","6.0.36.34214","""C:\ProgramData\Package Cache\{9d3fc73f-1cf4-412c-a1c9-d2ad28ccbd62}\dotnet-runtime-6.0.36-win-x64.exe""  /uninstall"
"FBV-TECHTR-P01","Microsoft ASP.NET Core 6.0.36 - Shared Framework (x86)","6.0.36.24516","""C:\ProgramData\Package Cache\{a126c4bd-b142-4db2-a330-0ad967773948}\aspnetcore-runtime-6.0.36-win-x86.exe""  /uninstall"
"FBV-TECHTR-P01","Microsoft Windows Desktop Runtime - 6.0.36 (x86)","6.0.36.34217","""C:\ProgramData\Package Cache\{c37854d7-1852-4785-82ff-86ff988e4caf}\windowsdesktop-runtime-6.0.36-win-x86.exe""  /uninstall"
"FBV-TECHTR-P01","Microsoft .NET 6.0.36 - Windows Server Hosting","6.0.36.24516","""C:\ProgramData\Package Cache\{e58a7de8-5b9f-4646-adce-962a1681959f}\dotnet-hosting-6.0.36-win.exe""  /uninstall"
"FBV-TECHTR-P01","Microsoft .NET Host - 6.0.36 (x86)","48.144.23141","MsiExec.exe /X{FBC9D6AE-6396-4FC7-BC18-00852836F16D}"
"FBV-PARPA-P01","Microsoft Windows Desktop Runtime - 6.0.36 (x64)","48.144.23186","MsiExec.exe /X{61D4736B-3325-4D4A-BD41-8BD206C6A86E}"
"FBV-PARPA-P01","Microsoft .NET Runtime - 6.0.36 (x64)","48.144.23141","MsiExec.exe /X{C912E33F-956A-4921-9F55-CC11AE8F09AF}"
"FBV-PARPA-P01","Microsoft Windows Desktop Runtime - 6.0.36 (x64)","6.0.36.34217","""C:\ProgramData\Package Cache\{0532b8f2-12d7-43de-95fc-7b87006758a8}\windowsdesktop-runtime-6.0.36-win-x64.exe""  /uninstall"
"FBV-PARPA-P01","Microsoft .NET Host FX Resolver - 6.0.36 (x86)","48.144.23141","MsiExec.exe /X{6F73FE7B-B9C3-4A05-8138-0E44543D755F}"
"FBV-PARPA-P01","Microsoft ASP.NET Core 3.1.32 Hosting Bundle Options","3.1.32.22566","MsiExec.exe /I{893D6F21-4915-3A5F-BFF4-3288D275DBA1}"
"FBV-PARPA-P01","Microsoft .NET Runtime - 6.0.36 (x86)","48.144.23141","MsiExec.exe /X{89C09E22-01D0-41F6-BAD3-CA0A8B74AD22}"
"FBV-PARPA-P01","Microsoft Windows Desktop Runtime - 6.0.36 (x86)","48.144.23186","MsiExec.exe /X{9A00C541-6944-4969-9DFE-A7289215800D}"
"FBV-PARPA-P01","Microsoft .NET Core 3.1.32 - Windows Server Hosting","3.1.32.22566","""C:\ProgramData\Package Cache\{a46a9139-dc72-4798-b428-80a5d6e9134b}\WindowsServerHostingBundle.exe""  /uninstall"
"FBV-PARPA-P01","Microsoft ASP.NET Core 3.1.32 - Shared Framework (x86)","3.1.32.22566","""C:\ProgramData\Package Cache\{b52191c1-a9c0-4b34-9a4e-930c2dd8a540}\AspNetCoreSharedFrameworkBundle-x86.exe""  /uninstall"
"FBV-PARPA-P01","Microsoft ASP.NET Core 3.1.32 Shared Framework (x86)","3.1.32.22566","MsiExec.exe /X{C2C8E71E-42CF-3CFE-8CFB-F8F96670C190}"
"FBV-PARPA-P01","Microsoft Windows Desktop Runtime - 6.0.36 (x86)","6.0.36.34217","""C:\ProgramData\Package Cache\{c37854d7-1852-4785-82ff-86ff988e4caf}\windowsdesktop-runtime-6.0.36-win-x86.exe""  /uninstall"
"FBV-PARPA-P01","Microsoft .NET Host - 6.0.36 (x86)","48.144.23141","MsiExec.exe /X{FBC9D6AE-6396-4FC7-BC18-00852836F16D}"
"FBV-WBDV-D02","Microsoft Windows Desktop Runtime - 8.0.15 (x64)","64.60.31203","MsiExec.exe /X{0E4A7820-FDA4-4250-B7AC-E7A2F7B43B64}"
"FBV-WBDV-D02","Microsoft .NET Runtime - 7.0.20 (x64)","56.80.15184","MsiExec.exe /X{221BB52A-B763-4C9D-AA62-4B0B6C9AAD62}"
"FBV-WBDV-D02","Microsoft .NET SDK 9.0.203 (x64) from Visual Studio","9.2.325.16509","MsiExec.exe /X{2A7082A8-99DB-4177-A9B5-DB3944A581FD}"
"FBV-WBDV-D02","Microsoft Windows Desktop Runtime - 6.0.36 (x64)","48.144.23186","MsiExec.exe /X{61D4736B-3325-4D4A-BD41-8BD206C6A86E}"
"FBV-WBDV-D02","Microsoft Windows Desktop Runtime - 9.0.4 (x64)","72.16.31142","MsiExec.exe /X{6D5792BF-708C-485A-A59C-E38806AE6EBB}"
"FBV-WBDV-D02","Microsoft Windows Desktop Runtime - 7.0.20 (x64)","56.80.15245","MsiExec.exe /X{72C29BED-666F-4E5E-BC49-DF44C890742E}"
"FBV-WBDV-D02","Microsoft .NET Runtime - 8.0.15 (x64)","64.60.31149","MsiExec.exe /X{8731E6E3-AF96-4515-ACEC-DBFB3DF55292}"
"FBV-WBDV-D02","Microsoft .NET Runtime - 9.0.4 (x64)","72.16.31125","MsiExec.exe /X{8BAC55BB-CCAC-428E-BCB8-C00015D37D89}"
"FBV-WBDV-D02","Microsoft .NET Runtime - 6.0.36 (x64)","48.144.23141","MsiExec.exe /X{C912E33F-956A-4921-9F55-CC11AE8F09AF}"
"FBV-WBDV-D02","Microsoft ASP.NET Core 6.0.36 Hosting Bundle Options","6.0.36.24516","MsiExec.exe /I{040F8B83-B3BA-303A-A5BC-FE3E7FC0093B}"
