"FileName","FilePath","Version"
"App_Licenses.dll","D:\inetpub\Assessment\Assessment\bin\App_Licenses.dll","0.0.0.0"
"Infragistics2.WebUI.Misc.v10.3.dll","D:\inetpub\Assessment\Assessment\bin\Infragistics2.WebUI.Misc.v10.3.dll","10.3.20103.2217"
"Infragistics2.WebUI.Shared.v10.3.dll","D:\inetpub\Assessment\Assessment\bin\Infragistics2.WebUI.Shared.v10.3.dll","10.3.20103.2217"
"Infragistics2.WebUI.UltraWebCalcManager.v10.3.dll","D:\inetpub\Assessment\Assessment\bin\Infragistics2.WebUI.UltraWebCalcManager.v10.3.dll","10.3.20103.2217"
"Infragistics2.WebUI.UltraWebChart.v10.3.dll","D:\inetpub\Assessment\Assessment\bin\Infragistics2.WebUI.UltraWebChart.v10.3.dll","10.3.20103.2217"
"Infragistics2.WebUI.UltraWebGrid.v10.3.dll","D:\inetpub\Assessment\Assessment\bin\Infragistics2.WebUI.UltraWebGrid.v10.3.dll","10.3.20103.2217"
"Infragistics2.WebUI.UltraWebNavigator.v10.3.dll","D:\inetpub\Assessment\Assessment\bin\Infragistics2.WebUI.UltraWebNavigator.v10.3.dll","10.3.20103.2217"
"Infragistics2.WebUI.UltraWebTab.v10.3.dll","D:\inetpub\Assessment\Assessment\bin\Infragistics2.WebUI.UltraWebTab.v10.3.dll","10.3.20103.2217"
"Infragistics2.WebUI.WebCombo.v10.3.dll","D:\inetpub\Assessment\Assessment\bin\Infragistics2.WebUI.WebCombo.v10.3.dll","10.3.20103.2217"
"Infragistics2.WebUI.WebDataInput.v10.3.dll","D:\inetpub\Assessment\Assessment\bin\Infragistics2.WebUI.WebDataInput.v10.3.dll","10.3.20103.2217"
"Infragistics2.WebUI.WebDateChooser.v10.3.dll","D:\inetpub\Assessment\Assessment\bin\Infragistics2.WebUI.WebDateChooser.v10.3.dll","10.3.20103.2217"
"Infragistics2.WebUI.WebHtmlEditor.v10.3.dll","D:\inetpub\Assessment\Assessment\bin\Infragistics2.WebUI.WebHtmlEditor.v10.3.dll","10.3.20103.2217"
"Infragistics2.WebUI.WebSpellChecker.v10.3.dll","D:\inetpub\Assessment\Assessment\bin\Infragistics2.WebUI.WebSpellChecker.v10.3.dll","10.3.20103.2217"
"Azure.Core.dll","D:\inetpub\BrokerCommissionsPaymentTool\Azure.Core.dll","1.3500.23.45706"
"Azure.Identity.dll","D:\inetpub\BrokerCommissionsPaymentTool\Azure.Identity.dll","1.1000.323.51804"
"BrokerCommission.Data.dll","D:\inetpub\BrokerCommissionsPaymentTool\BrokerCommission.Data.dll","1.0.0.0"
"BrokerCommission.dll","D:\inetpub\BrokerCommissionsPaymentTool\BrokerCommission.dll","1.0.0.0"
