"userName","In AD","Last Logon Date","Status"
"ASCScheduler","Yes","2/6/2024 11:02:52 AM","Active"
"NewProvReq","Yes","12/12/2023 3:56:43 PM","Active"
"OccMedCorpHlth","Yes","2/14/2024 3:00:25 PM","Active"
"Sa5DocAveAgent","Yes","1/11/2025 2:37:46 PM","Active"
"aa1SP2013_Admin","Yes","1/2/2024 3:10:29 PM","Active"
"aa1SP2013_INT_Admin","Yes","11/29/2023 9:35:53 AM","Active"
"aa1SP2013_UAT_Admin","Yes","4/19/2024 8:48:00 AM","Active"
"aa1SP2013x_Admin","Yes","4/19/2024 7:00:00 PM","Active"
"aa1SP2013x_INT_Admin","Yes","4/20/2024 11:22:01 PM","Active"
"aa1SP2013x_UAT_Admin","Yes","4/21/2024 4:41:01 AM","Active"
"aa1SPAdmin","Yes","12/6/2022 8:29:11 AM","Active"
"aa1SPDAdmin","Yes","1/11/2025 7:45:34 AM","Active"
"aa1SPDevAdmin","Yes","4/19/2022 3:34:36 PM","Active"
"aa1SPIAdmin","Yes","3/9/2020 4:30:17 AM","Active"
"aa1SPLookup","Yes","1/19/2025 2:13:03 PM","Active"
"aa1SPTAdmin","Yes","2/10/2020 11:00:02 AM","Active"
"aa1SharePointDevAdm","Yes","12/28/2012 9:05:23 AM","Active"
"aa1SpEmpAppr","Yes","1/20/2025 12:27:53 PM","Active"
"aa1spContMig","Yes","8/28/2015 2:00:24 PM","Active"
"aa1spTestOne","Yes","4/2/2019 1:19:29 PM","Active"
"ck7eBiz","Yes","8/22/2018 1:28:34 AM","Active"
"nosupervisor-kars","Yes","12/13/2023 8:41:01 AM","Active"
"s90168","Yes","No Logon Data Found","N/A"
"s90221","Yes","9/21/2023 1:43:23 PM","Active"
"s90222","Yes","5/1/2023 10:36:43 AM","Active"
"s90255","Yes","1/17/2025 11:20:06 AM","Active"
"s90256","Yes","1/15/2025 1:30:50 PM","Active"
"s90257","Yes","1/17/2025 4:13:30 PM","Active"
"s90258","Yes","11/13/2024 11:44:34 AM","Active"
"s90259","Yes","12/25/2024 12:06:17 AM","Active"
"s90260","Yes","1/8/2025 2:39:08 PM","Active"
"s90261","Yes","6/13/2022 9:55:00 AM","Active"
"s90262","Yes","6/17/2024 1:12:48 PM","Active"
"s90294","Yes","1/19/2025 2:00:01 AM","Active"
"s90306","Yes","3/9/2023 3:51:15 PM","Active"
"s90420","Yes","1/20/2025 10:00:01 AM","Active"
"sa5Nintex","Yes","1/20/2025 12:23:22 AM","Active"
"sa5SP2013_C2WTS","Yes","No Logon Data Found","N/A"
"sa5SP2013_CacheSRead","Yes","11/2/2020 1:34:19 PM","Active"
"sa5SP2013_CacheSuper","Yes","11/2/2020 1:34:18 PM","Active"
"sa5SP2013_Crawl","Yes","8/2/2023 2:32:25 PM","Active"
"sa5SP2013_ExcelUser","Yes","No Logon Data Found","N/A"
"sa5SP2013_Farm","Yes","1/23/2024 6:11:02 AM","Active"
"sa5SP2013_INT_C2WTS","Yes","No Logon Data Found","N/A"
"sa5SP2013_INT_CacheR","Yes","No Logon Data Found","N/A"
"sa5SP2013_INT_CacheS","Yes","No Logon Data Found","N/A"
"sa5SP2013_INT_Crawl","Yes","10/19/2022 6:57:10 PM","Active"
"sa5SP2013_INT_ExcelU","Yes","No Logon Data Found","N/A"
"sa5SP2013_INT_Farm","Yes","1/21/2024 10:30:02 PM","Active"
"sa5SP2013_INT_UserPr","Yes","6/11/2020 6:20:00 PM","Active"
"sa5SP2013x_Crawl","Yes","1/13/2024 11:50:00 PM","Active"
"sa5SP2013x_ExcelUser","Yes","8/31/2021 3:24:02 PM","Active"
"sa5SP2013x_Farm","Yes","1/12/2024 5:15:33 AM","Active"
"sa5SP2013x_INT_C2WTS","Yes","No Logon Data Found","N/A"
"sa5SP2013x_INT_CSRea","Yes","8/4/2016 1:00:58 PM","Active"
"sa5SP2013x_INT_CSUse","Yes","8/4/2016 1:00:57 PM","Active"
"sa5SP2013x_INT_Crawl","Yes","7/1/2016 10:50:58 AM","Active"
"sa5SP2013x_INT_Excel","Yes","8/9/2023 10:27:12 AM","Active"
"sa5SP2013x_INT_Farm","Yes","1/21/2024 3:45:02 PM","Active"
"sa5SP2013x_INT_Perfo","Yes","8/9/2023 10:27:13 AM","Active"
"sa5SP2013x_INT_Pool","Yes","1/17/2024 8:43:43 AM","Active"
"sa5SP2013x_INT_Searc","Yes","1/22/2024 7:35:00 AM","Active"
"sa5SP2013x_INT_Servi","Yes","12/25/2023 12:21:21 AM","Active"
"sa5SP2013x_INT_UserP","Yes","7/17/2017 11:12:35 AM","Active"
"sa5SP2013x_INT_Visio","Yes","8/9/2023 10:27:12 AM","Active"
"sa5SP2013x_Performan","Yes","8/31/2021 3:24:03 PM","Active"
"sa5SP2013x_Pool","Yes","1/14/2024 12:25:01 AM","Active"
"sa5SP2013x_Search","Yes","9/13/2021 11:10:01 AM","Active"
"sa5SP2013x_Services","Yes","11/7/2023 12:43:07 AM","Active"
"sa5SP2013x_UAT_C2WTS","Yes","No Logon Data Found","N/A"
"sa5SP2013x_UAT_CSRea","Yes","No Logon Data Found","N/A"
"sa5SP2013x_UAT_CSUse","Yes","No Logon Data Found","N/A"
"sa5SP2013x_UAT_Crawl","Yes","12/2/2016 9:45:06 AM","Active"
"sa5SP2013x_UAT_Excel","Yes","9/22/2022 1:30:24 PM","Active"
"sa5SP2013x_UAT_Farm","Yes","1/23/2024 2:15:05 PM","Active"
"sa5SP2013x_UAT_Perfo","Yes","9/22/2022 1:30:24 PM","Active"
"sa5SP2013x_UAT_Pool","Yes","1/21/2024 10:55:02 AM","Active"
"sa5SP2013x_UAT_Searc","Yes","1/20/2024 11:40:00 AM","Active"
"sa5SP2013x_UAT_Servi","Yes","12/23/2023 11:14:10 PM","Active"
"sa5SP2013x_UAT_UserP","Yes","9/21/2022 1:13:22 PM","Active"
"sa5SP2013x_UAT_Visio","Yes","9/22/2022 1:30:24 PM","Active"
"sa5SP2013x_UserProfi","Yes","8/31/2021 3:27:49 PM","Active"
"sa5SP2013x_VisioUser","Yes","8/31/2021 3:24:02 PM","Active"
"sa5SPDAppPool","Yes","1/15/2025 12:00:15 AM","Active"
"sa5SPDCacheSuperRead","Yes","2/26/2018 3:06:12 PM","Active"
"sa5SPDCacheSuperUser","Yes","2/26/2018 3:06:12 PM","Active"
"sa5SPDFarm","Yes","1/20/2025 2:00:08 AM","Active"
"sa5SPDMySite","Yes","10/31/2022 8:23:48 AM","Active"
"sa5SPDProfileAppPool","Yes","5/20/2022 11:16:30 AM","Active"
"sa5SPDSQLServices","Yes","1/5/2025 7:55:17 PM","Active"
"sa5SPDSearch","Yes","1/16/2025 2:21:52 PM","Active"
"sa5SPDServices","Yes","1/19/2025 4:27:03 AM","Active"
"sa5SPDSrchAcces","Yes","10/31/2022 8:23:48 AM","Active"
