"SiteCollectionURL","SiteCollectionOwner","SiteCollectionTitle"
"https://prod-pulse.kscpulse.com","","The Pulse"
"https://prod-pulse.kscpulse.com/business-development/biggerbetter",,"Bigger Better"
"https://prod-pulse.kscpulse.com/business-development/Marketing",,"Marketing"
"https://prod-pulse.kscpulse.com/business-development/occupational-medicine",,"Occupational Medicine Home"
"https://prod-pulse.kscpulse.com/business-development/wellness",,"Home"
"https://prod-pulse.kscpulse.com/corporate-finance/cash-accounting",,"Cash Accounting"
"https://prod-pulse.kscpulse.com/corporate-finance/home",,"Finance and Accounting"
"https://prod-pulse.kscpulse.com/corporate-finance/purchasing",,"Supply Chain"
"https://prod-pulse.kscpulse.com/HCF/cbo",,"Business Office Home"
"https://prod-pulse.kscpulse.com/hcf/HCC-Coding",,"HCC Coding"
"https://prod-pulse.kscpulse.com/hcf/home",,"HCF"
"https://prod-pulse.kscpulse.com/HCF/HPPS",,"Health Plan Pharmacy Services"
"https://prod-pulse.kscpulse.com/hps/home",,"Health Plan Services"
"https://prod-pulse.kscpulse.com/hps/um",,"Utilization Management"
"https://prod-pulse.kscpulse.com/hr/home",,"Human Resources"
"https://prod-pulse.kscpulse.com/hr/payroll",,"Payroll"
"https://prod-pulse.kscpulse.com/it/bbll",,"Brown Bag Lunch and Learn"
"https://prod-pulse.kscpulse.com/IT/EMR",,"EMR"
"https://prod-pulse.kscpulse.com/it/erp",,"Enterprise Resource Planning"
"https://prod-pulse.kscpulse.com/it/helpdesk",,"Help Desk Home"
"https://prod-pulse.kscpulse.com/it/home",,"Information Technology"
"https://prod-pulse.kscpulse.com/it/infosec",,"Information Security"
"https://prod-pulse.kscpulse.com/it/support-information",,"Information Technology"
"https://prod-pulse.kscpulse.com/IT/Telecom",,"Telecom"
"https://prod-pulse.kscpulse.com/IT/Training",,"Training Home"
"https://prod-pulse.kscpulse.com/managed-care/home",,"Managed Care"
"https://prod-pulse.kscpulse.com/Managed-Care/KCA",,"KCA"
"https://prod-pulse.kscpulse.com/Operations/AHNT",,"After-Hours Nurse Triage"
"https://prod-pulse.kscpulse.com/operations/ASC",,"ASC Home"
"https://prod-pulse.kscpulse.com/Operations/cancer-center",,"Cancer Center Home"
"https://prod-pulse.kscpulse.com/Operations/Cancer-Services",,"Cancer Services"
"https://prod-pulse.kscpulse.com/operations/clinical-education",,"Clinical Education"
"https://prod-pulse.kscpulse.com/operations/contact-center",,"Contact Center Home"
"https://prod-pulse.kscpulse.com/operations/home",,"Operations"
"https://prod-pulse.kscpulse.com/operations/labcorp",,"LabCorp"
"https://prod-pulse.kscpulse.com/operations/labcorponsite",,"LabCorp Onsite Home"
"https://prod-pulse.kscpulse.com/operations/lab-services",,"Lab Services"
"https://prod-pulse.kscpulse.com/operations/medical-imaging",,"Medical Imaging Home"
"https://prod-pulse.kscpulse.com/operations/nursing",,"Nursing"
"https://prod-pulse.kscpulse.com/operations/patient-education",,"Patient Education"
"https://prod-pulse.kscpulse.com/Operations/Pharmacy",,"Pharmacy"
"https://prod-pulse.kscpulse.com/Operations/Sleep-Center",,"Sleep Center"
"https://prod-pulse.kscpulse.com/patient-experience/home",,"Patient Experience"
"https://prod-pulse.kscpulse.com/strategic-planning/coding",,"Coding Improvement"
"https://prod-pulse.kscpulse.com/strategic-planning/ehs",,"EHS Home"
"https://prod-pulse.kscpulse.com/strategic-planning/facilities",,"FACILITIES"
"https://prod-pulse.kscpulse.com/strategic-planning/FacilitiesProjects",,"Facilities Projects"
"https://prod-pulse.kscpulse.com/strategic-planning/forms",,"Forms"
"https://prod-pulse.kscpulse.com/strategic-planning/medical-records",,"Medical Records"
"https://prod-pulse.kscpulse.com/strategic-planning/qi",,"Quality Improvement"
"https://prod-pulse.kscpulse.com/strategic-planning/risk-management",,"Risk Management"
"https://prod-pulse.kscpulse.com/strategic-planning/standing orders",,"Standing Orders"
