"SiteCollectionURL","SiteCollectionTitle","GroupName","TermSetName"
"https://prod-pulse.kscpulse.com","The Pulse","Approvers",
"https://prod-pulse.kscpulse.com","The Pulse","Contributors",
"https://prod-pulse.kscpulse.com","The Pulse","Designers",
"https://prod-pulse.kscpulse.com","The Pulse","Hierarchy Managers",
"https://prod-pulse.kscpulse.com","The Pulse","Lunchroom Members",
"https://prod-pulse.kscpulse.com","The Pulse","Pulse - Members",
"https://prod-pulse.kscpulse.com","The Pulse","Pulse - Owners",
"https://prod-pulse.kscpulse.com","The Pulse","Pulse - Visitors",
"https://prod-pulse.kscpulse.com","The Pulse","Quick Deploy Users",
"https://prod-pulse.kscpulse.com","The Pulse","Restricted Readers",
"https://prod-pulse.kscpulse.com","The Pulse","Sounding Board Members",
"https://prod-pulse.kscpulse.com","The Pulse","Style Resource Readers",
"https://prod-pulse.kscpulse.com","The Pulse","Translation Managers",
"https://prod-pulse.kscpulse.com","The Pulse",,"Customers"
"https://prod-pulse.kscpulse.com","The Pulse",,"Modules"
"https://prod-pulse.kscpulse.com","The Pulse",,"Status"
"https://prod-pulse.kscpulse.com","The Pulse",,"Ticket Type"
"https://prod-pulse.kscpulse.com","The Pulse",,"Global Navigation"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Material"
"https://prod-pulse.kscpulse.com","The Pulse",,"Analytics Type"
"https://prod-pulse.kscpulse.com","The Pulse",,"Applications"
"https://prod-pulse.kscpulse.com","The Pulse",,"Intranet"
"https://prod-pulse.kscpulse.com","The Pulse",,"Languages"
"https://prod-pulse.kscpulse.com","The Pulse",,"Navigation"
"https://prod-pulse.kscpulse.com","The Pulse",,"Specialties"
"https://prod-pulse.kscpulse.com","The Pulse",,"EHS Locations"
"https://prod-pulse.kscpulse.com","The Pulse",,"Materials"
"https://prod-pulse.kscpulse.com","The Pulse",,"Safety Data Sheet"
"https://prod-pulse.kscpulse.com","The Pulse",,"Media Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Environments"
"https://prod-pulse.kscpulse.com","The Pulse",,"Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Facilities Locations"
"https://prod-pulse.kscpulse.com","The Pulse",,"Business Area"
"https://prod-pulse.kscpulse.com","The Pulse",,"Departments"
"https://prod-pulse.kscpulse.com","The Pulse",,"Locations"
"https://prod-pulse.kscpulse.com","The Pulse",,"Locum Agencies"
"https://prod-pulse.kscpulse.com","The Pulse",,"MSDS"
"https://prod-pulse.kscpulse.com","The Pulse",,"Projects"
"https://prod-pulse.kscpulse.com","The Pulse",,"Site Structure"
"https://prod-pulse.kscpulse.com","The Pulse",,"HCC Coding"
"https://prod-pulse.kscpulse.com","The Pulse",,"Priority"
"https://prod-pulse.kscpulse.com","The Pulse",,"Status"
"https://prod-pulse.kscpulse.com","The Pulse",,"Compliance and Fraud"
"https://prod-pulse.kscpulse.com","The Pulse",,"Enrollment"
"https://prod-pulse.kscpulse.com","The Pulse",,"Grievance and Appeals"
"https://prod-pulse.kscpulse.com","The Pulse",,"KelseyCare Advantage Privacy Policy"
"https://prod-pulse.kscpulse.com","The Pulse",,"Managed Care"
"https://prod-pulse.kscpulse.com","The Pulse",,"Member Services"
"https://prod-pulse.kscpulse.com","The Pulse",,"Languages"
"https://prod-pulse.kscpulse.com","The Pulse",,"Medical Specialties"
"https://prod-pulse.kscpulse.com","The Pulse",,"Applications"
"https://prod-pulse.kscpulse.com","The Pulse",,"Projects"
"https://prod-pulse.kscpulse.com","The Pulse",,"Team Meetings"
"https://prod-pulse.kscpulse.com","The Pulse",,"DocTypes"
"https://prod-pulse.kscpulse.com","The Pulse",,"Location"
"https://prod-pulse.kscpulse.com","The Pulse",,"Region"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Group"
"https://prod-pulse.kscpulse.com","The Pulse",,"Services Provided"
"https://prod-pulse.kscpulse.com","The Pulse",,"Medical Imaging Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Foundation Raffle Info"
"https://prod-pulse.kscpulse.com","The Pulse",,"Global Navigation"
"https://prod-pulse.kscpulse.com","The Pulse",,"Physician's Lunchroom"
"https://prod-pulse.kscpulse.com","The Pulse",,"Sounding Board"
"https://prod-pulse.kscpulse.com","The Pulse",,"Months"
"https://prod-pulse.kscpulse.com","The Pulse",,"ReportType"
"https://prod-pulse.kscpulse.com","The Pulse",,"Years"
"https://prod-pulse.kscpulse.com","The Pulse",,"Department"
"https://prod-pulse.kscpulse.com","The Pulse",,"Job Title"
"https://prod-pulse.kscpulse.com","The Pulse",,"Location"
"https://prod-pulse.kscpulse.com","The Pulse",,"Lunchroom"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"ImageTags"
"https://prod-pulse.kscpulse.com","The Pulse",,"QI Newsletter"
"https://prod-pulse.kscpulse.com","The Pulse",,"Standing Orders"
"https://prod-pulse.kscpulse.com","The Pulse",,"Company Exclusions"
"https://prod-pulse.kscpulse.com","The Pulse",,"Company Inclusions"
"https://prod-pulse.kscpulse.com","The Pulse",,"Query Spelling Exclusions"
"https://prod-pulse.kscpulse.com","The Pulse",,"Query Spelling Inclusions"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Global Navigation"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
"https://prod-pulse.kscpulse.com","The Pulse",,"Wiki Categories"
