"User","Source","Time","EventType","Controller"
"LFaulkner","DPC-20884","11/29/2017 1:01:31 PM","Lockout","LASDC02"
"nsolomon","DPC-20820","11/29/2017 1:10:30 PM","Lockout","LASDC02"
"nsolomon","Unlocked By: ZBucci.Advisor","11/29/2017 1:12:28 PM","Unlock","LASDC01"
"ssadmnpri","LASSECSRV01","11/29/2017 1:21:17 PM","Lockout","LASDC02"
"JHilaire","DPC-21210","11/29/2017 1:31:31 PM","Lockout","LASDC01"
"JHilaire","Unlocked By: WListon.Advisor","11/29/2017 1:33:44 PM","Unlock","LASDC02"
"nsolomon","DPC-20820","11/29/2017 1:41:50 PM","Lockout","LASDC01"
"ssadmnpri","LASSECSRV01","11/29/2017 10:10:47 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/29/2017 10:15:49 PM","Lockout","LASDC05"
"capsystest","VDI-60043","11/29/2017 10:50:22 AM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/29/2017 10:50:44 AM","Lockout","LASDC02"
"nsolomon","DPC-20820","11/29/2017 11:16:55 AM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/29/2017 11:21:38 PM","Lockout","LASDC01"
"nsolomon","Unlocked By: WListon.Advisor","11/29/2017 11:31:18 AM","Unlock","LASDC02"
"ssadmnpri","LASSECSRV01","11/29/2017 12:15:44 PM","Lockout","LASDC02"
"marmstrong","DPC-21197","11/29/2017 12:16:05 PM","Lockout","LASDC02"
"Skhan","DPC-19160","11/29/2017 12:19:34 PM","Lockout","LASDC02"
"Skhan","Unlocked By: MOconner.Advisor","11/29/2017 12:21:33 PM","Unlock","LASDC02"
"MOconner.Advisor","LPC-19541","11/29/2017 2:08:35 PM","Lockout","LASDC02"
"MOconner.Advisor","Unlocked By: Disacoff.Advisor","11/29/2017 2:09:06 PM","Unlock","LASDC02"
"nsolomon","DPC-20820","11/29/2017 2:12:11 PM","Lockout","LASDC02"
"fpacific","DPC-20717","11/29/2017 2:16:34 PM","Lockout","LASDC01"
"nsolomon","Unlocked By: RPreta.Advisor","11/29/2017 2:21:24 PM","Unlock","LASDC01"
"fpacific","Unlocked By: Disacoff.Advisor","11/29/2017 2:37:16 PM","Unlock","LASDC02"
"ALee","DPC-18768","11/29/2017 2:43:36 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/29/2017 2:45:47 PM","Lockout","LASDC05"
"breakroom","DPC-18766","11/29/2017 3:28:46 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/29/2017 3:45:45 PM","Lockout","LASDC02"
"afelix","DPC-19263","11/29/2017 3:58:07 PM","Lockout","LASDC02"
"afelix","Unlocked By: WListon.Advisor","11/29/2017 4:15:20 PM","Unlock","LASDC02"
"DPaquette","DPC-21211","11/29/2017 4:16:08 PM","Lockout","LASDC02"
"DPaquette","Unlocked By: WListon.Advisor","11/29/2017 4:24:14 PM","Unlock","LASDC02"
"JArnold","LASSQL04N01","11/29/2017 4:39:40 PM","Lockout","LASDC02"
"JArnold","LASSQL04N02","11/29/2017 4:39:40 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/29/2017 5:10:46 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/29/2017 5:15:47 PM","Lockout","LASDC05"
"ssadmnpri","LASSECSRV01","11/29/2017 6:21:28 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/29/2017 7:43:29 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/29/2017 7:45:48 PM","Lockout","LASDC05"
"ssadmnpri","LASSECSRV01","11/29/2017 8:45:47 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 1:10:52 PM","Lockout","LASDC02"
"Guest","LASISE01","11/30/2017 1:11:04 AM","Lockout","LASDC02"
"CCullors","DPC-20363","11/30/2017 1:12:50 PM","Lockout","LASDC02"
"CCullors","Unlocked By: WListon.Advisor","11/30/2017 1:13:24 PM","Unlock","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 1:15:51 PM","Lockout","LASDC05"
"ssadmnpri","LASSECSRV01","11/30/2017 1:50:48 AM","Lockout","LASDC02"
"Guest","LASISE01","11/30/2017 1:57:48 AM","Lockout","LASDC02"
"vzamora","Unlocked By: ZBucci.Advisor","11/30/2017 10:08:25 AM","Unlock","LASDC01"
"ssadmnpri","LASSECSRV01","11/30/2017 10:45:52 AM","Lockout","LASDC02"
"LKarmokar","LASEXCH02","11/30/2017 10:59:57 AM","Lockout","LASDC01"
"LKarmokar","Unlocked By: Disacoff.Advisor","11/30/2017 11:01:40 AM","Unlock","LASDC02"
"vzamora","DPC-17805","11/30/2017 11:01:48 AM","Lockout","LASDC02"
"tiwsmgr","LASTI02","11/30/2017 11:04:15 AM","Lockout","LASDC02"
"vzamora","Unlocked By: ZBucci.Advisor","11/30/2017 11:04:49 AM","Unlock","LASDC01"
"ssadmnpri","LASSECSRV01","11/30/2017 11:10:55 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 11:15:53 PM","Lockout","LASDC05"
"mjellis","DPC-18763","11/30/2017 11:37:06 AM","Lockout","LASDC02"
"mjellis","Unlocked By: WListon.Advisor","11/30/2017 11:38:49 AM","Unlock","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 11:52:54 AM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","11/30/2017 12:45:48 AM","Lockout","LASDC02"
"AMaragos","DPC-17762","11/30/2017 2:04:17 PM","Lockout","LASDC01"
"ssadmnpri","LASSECSRV01","11/30/2017 2:20:51 PM","Lockout","LASDC02"
"AMaragos","Unlocked By: WListon.Advisor","11/30/2017 2:22:50 PM","Unlock","LASDC02"
"cbarnes","DPC-19261","11/30/2017 2:24:06 PM","Lockout","LASDC02"
"cbarnes","Unlocked By: kholmes.advisor","11/30/2017 2:37:46 PM","Unlock","LASDC01"
"DPaquette","DPC-21211","11/30/2017 2:55:20 PM","Lockout","LASDC02"
"DPaquette","Unlocked By: RPreta.Advisor","11/30/2017 3:01:00 PM","Unlock","LASDC02"
