"RemoteAddress","RemotePort","OwningProcess","PSComputerName"
"::","0","632","LASCHAT03"
"::","0","616","LASCHAT03"
"::","0","1100","LASCHAT03"
"::","0","1632","LASCHAT03"
"::","0","1876","LASCHAT03"
"::","0","1092","LASCHAT03"
"::","0","632","LASCHAT03"
"::","0","1004","LASCHAT03"
"::","0","480","LASCHAT03"
"::","0","916","LASCHAT03"
"::","0","1100","LASCHAT03"
"::","0","1100","LASCHAT03"
"::","0","1100","LASCHAT03"
"::","0","1100","LASCHAT03"
"::","0","4","LASCHAT03"
"::","0","780","LASCHAT03"
"0.0.0.0","0","2192","LASCHAT03"
"0.0.0.0","0","2172","LASCHAT03"
"0.0.0.0","0","2180","LASCHAT03"
"0.0.0.0","0","2192","LASCHAT03"
"0.0.0.0","0","2192","LASCHAT03"
"0.0.0.0","0","2192","LASCHAT03"
"0.0.0.0","0","3264","LASCHAT03"
"0.0.0.0","0","3264","LASCHAT03"
"0.0.0.0","0","2164","LASCHAT03"
"0.0.0.0","0","4384","LASCHAT03"
"127.0.0.1","8011","2192","LASCHAT03"
"127.0.0.1","8012","2172","LASCHAT03"
"127.0.0.1","8011","2180","LASCHAT03"
"127.0.0.1","8011","2192","LASCHAT03"
"127.0.0.1","8011","2192","LASCHAT03"
"127.0.0.1","8011","2192","LASCHAT03"
"127.0.0.1","8011","3264","LASCHAT03"
"0.0.0.0","0","632","LASCHAT03"
"0.0.0.0","0","616","LASCHAT03"
"0.0.0.0","0","1100","LASCHAT03"
"0.0.0.0","0","1632","LASCHAT03"
"0.0.0.0","0","1876","LASCHAT03"
"192.168.17.57","51477","1092","LASCHAT03"
"192.168.17.57","51479","1092","LASCHAT03"
"0.0.0.0","0","1092","LASCHAT03"
"0.0.0.0","0","632","LASCHAT03"
"0.0.0.0","0","1004","LASCHAT03"
"0.0.0.0","0","480","LASCHAT03"
"192.168.11.63","1433","2164","LASCHAT03"
"127.0.0.1","8011","4384","LASCHAT03"
"0.0.0.0","0","4","LASCHAT03"
"0.0.0.0","0","1928","LASCHAT03"
"0.0.0.0","0","2192","LASCHAT03"
"127.0.0.1","59768","2164","LASCHAT03"
"0.0.0.0","0","2164","LASCHAT03"
"192.168.18.131","57033","2164","LASCHAT03"
"127.0.0.1","59994","2164","LASCHAT03"
"127.0.0.1","49741","2164","LASCHAT03"
"127.0.0.1","49341","2164","LASCHAT03"
"127.0.0.1","58043","2164","LASCHAT03"
"127.0.0.1","59500","2164","LASCHAT03"
"127.0.0.1","57604","2164","LASCHAT03"
"127.0.0.1","57077","2164","LASCHAT03"
"0.0.0.0","0","2164","LASCHAT03"
"0.0.0.0","0","2164","LASCHAT03"
"0.0.0.0","0","2164","LASCHAT03"
"0.0.0.0","0","4","LASCHAT03"
"0.0.0.0","0","916","LASCHAT03"
"0.0.0.0","0","1100","LASCHAT03"
"0.0.0.0","0","1100","LASCHAT03"
"0.0.0.0","0","1100","LASCHAT03"
"0.0.0.0","0","1100","LASCHAT03"
"0.0.0.0","0","4","LASCHAT03"
"192.168.17.57","51474","780","LASCHAT03"
"192.168.17.57","51475","780","LASCHAT03"
"0.0.0.0","0","780","LASCHAT03"
"0.0.0.0","0","4","LASCHAT03"
"0.0.0.0","0","2172","LASCHAT03"
"::","0","616","LASCHAT04"
"::","0","608","LASCHAT04"
"::","0","1124","LASCHAT04"
"::","0","1700","LASCHAT04"
"::","0","1836","LASCHAT04"
"::","0","1068","LASCHAT04"
"::","0","616","LASCHAT04"
"::","0","1016","LASCHAT04"
"::","0","460","LASCHAT04"
"::","0","916","LASCHAT04"
"::","0","1124","LASCHAT04"
"::","0","1124","LASCHAT04"
"::","0","1124","LASCHAT04"
"::","0","1124","LASCHAT04"
"::","0","4","LASCHAT04"
"::","0","768","LASCHAT04"
"0.0.0.0","0","2240","LASCHAT04"
"0.0.0.0","0","2240","LASCHAT04"
"0.0.0.0","0","2240","LASCHAT04"
"0.0.0.0","0","2240","LASCHAT04"
"0.0.0.0","0","2188","LASCHAT04"
"0.0.0.0","0","2212","LASCHAT04"
"0.0.0.0","0","4132","LASCHAT04"
