"User","Source","Time","EventType","Controller"
"jomartinez","DPC-20786","7/30/2018 7:02:39 AM","Lockout","LASDC11"
"jomartinez","Unlocked By: oconnerm","7/30/2018 7:10:33 AM","Unlock","LASDC10"
"jomartinez","Unlocked By: oconnerm","7/30/2018 7:10:33 AM","Unlock","LASDC10"
"EAdler","Unlocked By: isacoffd","7/30/2018 8:11:39 AM","Unlock","LASDC10"
"EAdler","Unlocked By: isacoffd","7/30/2018 8:11:39 AM","Unlock","LASDC10"
"cknight","DPC-19856","7/30/2018 8:12:49 AM","Lockout","LASDC10"
"cknight","Unlocked By: isacoffd","7/30/2018 8:14:43 AM","Unlock","LASDC10"
"cknight","Unlocked By: isacoffd","7/30/2018 8:15:34 AM","Unlock","LASDC10"
"cknight","Unlocked By: isacoffd","7/30/2018 8:14:43 AM","Unlock","LASDC10"
"cknight","Unlocked By: isacoffd","7/30/2018 8:15:34 AM","Unlock","LASDC10"
"stucker","Unlocked By: isacoffd","7/30/2018 8:53:41 AM","Unlock","LASDC10"
"LavallettoP","Unlocked By: isacoffd","7/30/2018 9:25:17 AM","Unlock","LASDC10"
"LavallettoP","Unlocked By: isacoffd","7/30/2018 9:25:17 AM","Unlock","LASDC10"
"RMcFarland","DPC-20760","7/30/2018 9:35:21 AM","Lockout","LASDC02"
"RMcFarland","Unlocked By: isacoffd","7/30/2018 9:38:15 AM","Unlock","LASDC10"
"LJames","DPC-20366","7/30/2018 9:46:07 AM","Lockout","LASDC11"
"LJames","DPC-20366","7/30/2018 9:46:07 AM","Lockout","LASDC11""SVC_PROCESS360_PROD","LASPROCAPP04","7/30/2018 1:00:16 AM","Lockout","LASAUTH01"
"SVC_PROCESS360_PROD","LASPROCAPP04","7/30/2018 1:50:16 AM","Lockout","LASAUTH01"
"311839097","LASAUTH01","7/30/2018 1:51:21 AM","Lockout","LASAUTH01"
"317066551","LASAUTH01","7/30/2018 10:11:09 AM","Lockout","LASAUTH01"
"311839097","Unlocked By: munr","7/30/2018 2:04:18 AM","Unlock","LASAUTH02"
"SVC_PROCESS360_PROD","LASPROCAPP04","7/30/2018 2:30:00 AM","Lockout","LASAUTH01"
"SVC_PROCESS360_PROD","LASPROCAPP04","7/30/2018 3:20:16 AM","Lockout","LASAUTH01"
"SVC_PROCESS360_PROD","LASPROCAPP04","7/30/2018 4:00:00 AM","Lockout","LASAUTH01"
"313200145 ","LASAUTH01","7/30/2018 4:50:09 AM","Lockout","LASAUTH01"
"SVC_PROCESS360_PROD","LASPROCAPP04","7/30/2018 4:50:16 AM","Lockout","LASAUTH01"
"316781143","LASAUTH02","7/30/2018 4:51:20 AM","Lockout","LASAUTH01"
"316791026","LASAUTH01","7/30/2018 5:03:30 AM","Lockout","LASAUTH01"
"316660278","LASAUTH02","7/30/2018 5:03:55 AM","Lockout","LASAUTH02"
"313175146","LASAUTH01","7/30/2018 5:04:00 AM","Lockout","LASAUTH01"
"317011155","LASAUTH02","7/30/2018 5:05:31 AM","Lockout","LASAUTH02"
"316650255","LASAUTH01","7/30/2018 5:05:58 AM","Lockout","LASAUTH01"
"316660278","Unlocked By: grosmans","7/30/2018 5:07:27 AM","Unlock","LASAUTH02"
"316650255","Unlocked By: munr","7/30/2018 5:07:58 AM","Unlock","LASAUTH02"
